,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-08-16,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
1,TQBR,2024-08-19,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
2,TQBR,2024-08-20,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
3,TQBR,2024-08-21,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
4,TQBR,2024-08-22,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
5,TQBR,2024-08-23,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
6,TQBR,2024-08-26,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
7,TQBR,2024-08-27,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
8,TQBR,2024-08-28,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
9,TQBR,2024-08-29,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
10,TQBR,2024-08-30,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
11,TQBR,2024-09-02,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
12,TQBR,2024-09-03,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
13,TQBR,2024-09-04,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
14,TQBR,2024-09-05,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
15,TQBR,2024-09-06,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
16,TQBR,2024-09-09,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
17,TQBR,2024-09-10,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
18,TQBR,2024-09-11,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
19,TQBR,2024-09-12,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
20,TQBR,2024-09-13,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
21,TQBR,2024-09-16,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
22,TQBR,2024-09-17,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
23,TQBR,2024-09-18,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
24,TQBR,2024-09-19,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
25,TQBR,2024-09-20,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
26,TQBR,2024-09-23,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
27,TQBR,2024-09-24,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
28,TQBR,2024-09-25,Хэдхантер,HEAD,0,0,,,,,,,0,,,,0,0,,0,3,SUR,
29,TQBR,2024-09-26,Хэдхантер,HEAD,101339,9245555078,3899.0,3719.0,4095.0,3935.0,3881.0,3935.0,2378148,3888.0,3888.0,,9245555078,9245555078,,0,3,SUR,
30,TQBR,2024-09-27,Хэдхантер,HEAD,60931,4361545653,3949.0,3940.0,4258.0,4198.0,4110.0,4198.0,1061293,4110.0,4110.0,,4361545653,4361545653,,0,3,SUR,6.68
31,TQBR,2024-09-30,Хэдхантер,HEAD,72235,4321188172,4250.0,4230.0,4498.0,4498.0,4400.0,4498.0,982534,4398.0,4398.0,,4321188172,4321188172,,0,3,SUR,7.15
32,TQBR,2024-10-01,Хэдхантер,HEAD,67824,3990695382,4490.0,4281.0,4548.0,4281.0,4364.0,4281.0,914313,4365.0,4365.0,,3990695382,3990695382,,0,3,SUR,-4.82
33,TQBR,2024-10-02,Хэдхантер,HEAD,42665,2536515647,4299.0,4159.0,4400.0,4226.0,4316.0,4226.0,587857,4315.0,4315.0,,2536515647,2536515647,,0,3,SUR,-1.28
34,TQBR,2024-10-03,Хэдхантер,HEAD,90008,4195709837,4305.0,4264.0,4383.0,4280.0,4313.0,4280.0,972765,4313.0,4313.0,,4195709837,4195709837,,0,3,SUR,1.28
35,TQBR,2024-10-04,Хэдхантер,HEAD,32205,1721061587,4285.0,4182.0,4305.0,4240.0,4244.0,4240.0,405414,4245.0,4245.0,,1721061587,1721061587,,0,3,SUR,-0.93
36,TQBR,2024-10-07,Хэдхантер,HEAD,28899,1437843374,4240.0,4103.0,4270.0,4164.0,4172.0,4164.0,344630,4172.0,4172.0,,1437843374,1437843374,,0,3,SUR,-1.79
37,TQBR,2024-10-08,Хэдхантер,HEAD,34183,2077078650,4150.0,4054.0,4256.0,4201.0,4173.0,4201.0,497384,4176.0,4176.0,,2077078650,2077078650,,0,3,SUR,0.89
38,TQBR,2024-10-09,Хэдхантер,HEAD,12961,890970841,4200.0,4160.0,4248.0,4170.0,4195.0,4170.0,212420,4194.0,4194.0,,890970841,890970841,,0,3,SUR,-0.74
39,TQBR,2024-10-10,Хэдхантер,HEAD,29920,874069783,4191.0,4152.0,4219.0,4189.0,4187.0,4189.0,208807,4186.0,4186.0,,874069783,874069783,,0,3,SUR,0.46
