,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
1,TQBR,2014-06-10,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
2,TQBR,2014-06-11,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
3,TQBR,2014-06-16,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
4,TQBR,2014-06-17,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
5,TQBR,2014-06-18,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
6,TQBR,2014-06-19,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
7,TQBR,2014-06-20,Химпром ап,HIMCP,0,0.0,,,,1.3998,,,0,,,,0,0,0.0,,3,SUR,
8,TQBR,2014-06-23,Химпром ап,HIMCP,10,45703.2,1.0,0.853,1.0,0.912,0.8623,0.912,53000,,,,0,0,0.0,,3,SUR,-34.85
9,TQBR,2014-06-24,Химпром ап,HIMCP,7,17248.8,0.949,0.949,0.96,0.96,0.9583,0.96,18000,,,,0,0,0.0,,3,SUR,5.26
10,TQBR,2014-06-25,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
11,TQBR,2014-06-26,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
12,TQBR,2014-06-27,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
13,TQBR,2014-06-30,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
14,TQBR,2014-07-01,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
15,TQBR,2014-07-02,Химпром ап,HIMCP,0,0.0,,,,0.96,,,0,,,,0,0,0.0,,3,SUR,
16,TQBR,2014-07-03,Химпром ап,HIMCP,1,13776.0,0.984,0.984,0.984,0.984,0.984,0.984,14000,,,,0,0,0.0,,3,SUR,2.5
17,TQBR,2014-07-04,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
18,TQBR,2014-07-07,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
19,TQBR,2014-07-08,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
20,TQBR,2014-07-09,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
21,TQBR,2014-07-10,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
22,TQBR,2014-07-11,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
23,TQBR,2014-07-14,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
24,TQBR,2014-07-15,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
25,TQBR,2014-07-16,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
26,TQBR,2014-07-17,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
27,TQBR,2014-07-18,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
28,TQBR,2014-07-21,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
29,TQBR,2014-07-22,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
30,TQBR,2014-07-23,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
31,TQBR,2014-07-24,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
32,TQBR,2014-07-25,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
33,TQBR,2014-07-28,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
34,TQBR,2014-07-29,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
35,TQBR,2014-07-30,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
36,TQBR,2014-07-31,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
37,TQBR,2014-08-01,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
38,TQBR,2014-08-04,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
39,TQBR,2014-08-05,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
40,TQBR,2014-08-06,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
41,TQBR,2014-08-07,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
42,TQBR,2014-08-08,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
43,TQBR,2014-08-11,Химпром ап,HIMCP,0,0.0,,,,0.984,,,0,,,,0,0,0.0,,3,SUR,
