,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-11-02,ХЭНДЕРСОН,HNFG,70567,1734673634.6,675.2,617.0,735.0,670.0,662.5,670.0,2634803,658.4,658.4,,1734673634.6,1734673634.6,,0,3,SUR,
1,TQBR,2023-11-03,ХЭНДЕРСОН,HNFG,22433,401963518.9,674.5,632.2,674.5,669.0,655.6,669.0,613166,655.6,655.6,,401963518.9,401963518.9,,0,3,SUR,-0.15
2,TQBR,2023-11-06,ХЭНДЕРСОН,HNFG,8898,155042903.0,664.0,647.0,665.0,650.0,655.9,650.0,236365,655.9,655.9,,155042903.0,155042903.0,,0,3,SUR,-2.84
3,TQBR,2023-11-07,ХЭНДЕРСОН,HNFG,7205,130760682.8,660.0,650.1,662.9,659.5,656.6,659.5,199158,656.6,656.6,,130760682.8,130760682.8,,0,3,SUR,1.46
4,TQBR,2023-11-08,ХЭНДЕРСОН,HNFG,8584,108303934.1,658.0,636.0,658.0,636.0,646.7,636.0,167463,646.7,646.7,,108303934.1,108303934.1,,0,3,SUR,-3.56
5,TQBR,2023-11-09,ХЭНДЕРСОН,HNFG,10610,128797012.8,636.2,619.0,640.0,619.9,624.5,619.9,206246,624.5,624.5,,128797012.8,128797012.8,,0,3,SUR,-2.53
6,TQBR,2023-11-10,ХЭНДЕРСОН,HNFG,15699,188047715.7,620.0,581.0,636.0,581.0,603.3,581.0,311688,603.3,603.3,,188047715.7,188047715.7,,0,3,SUR,-6.28
7,TQBR,2023-11-13,ХЭНДЕРСОН,HNFG,12205,155104910.7,581.0,546.1,595.0,569.0,561.2,569.0,276382,561.2,561.2,,155104910.7,155104910.7,,0,3,SUR,-2.07
8,TQBR,2023-11-14,ХЭНДЕРСОН,HNFG,6442,78357978.3,569.0,547.0,571.7,550.0,552.6,550.0,141801,552.6,552.6,,78357978.3,78357978.3,,0,3,SUR,-3.34
9,TQBR,2023-11-15,ХЭНДЕРСОН,HNFG,7037,75526399.9,551.7,545.0,574.9,564.1,559.7,564.1,134939,559.7,559.7,,75526399.9,75526399.9,,0,3,SUR,2.56
10,TQBR,2023-11-16,ХЭНДЕРСОН,HNFG,5041,54160746.2,572.7,561.2,584.0,578.0,575.0,578.0,94192,575.0,575.0,,54160746.2,54160746.2,,0,3,SUR,2.46
11,TQBR,2023-11-17,ХЭНДЕРСОН,HNFG,3113,28320321.8,578.0,564.2,582.7,574.0,576.1,574.0,49161,576.1,576.1,,28320321.8,28320321.8,,0,3,SUR,-0.69
12,TQBR,2023-11-20,ХЭНДЕРСОН,HNFG,3268,22576129.4,573.9,563.0,573.9,563.0,567.9,563.0,39755,567.9,567.9,,22576129.4,22576129.4,,0,3,SUR,-1.92
13,TQBR,2023-11-21,ХЭНДЕРСОН,HNFG,5915,112250330.5,564.0,545.0,570.0,553.5,551.7,553.5,203466,551.7,551.7,,112250330.5,112250330.5,,0,3,SUR,-1.69
14,TQBR,2023-11-22,ХЭНДЕРСОН,HNFG,5352,50182355.0,553.6,548.0,576.0,570.1,566.0,570.1,88660,566.0,566.0,,50182355.0,50182355.0,,0,3,SUR,3.0
15,TQBR,2023-11-23,ХЭНДЕРСОН,HNFG,3243,29526983.9,570.0,554.0,572.0,560.5,560.2,560.5,52710,560.2,560.2,,29526983.9,29526983.9,,0,3,SUR,-1.68
16,TQBR,2023-11-24,ХЭНДЕРСОН,HNFG,3255,20671056.7,561.0,551.0,563.4,552.2,556.5,552.2,37147,556.5,556.5,,20671056.7,20671056.7,,0,3,SUR,-1.48
17,TQBR,2023-11-27,ХЭНДЕРСОН,HNFG,4410,71827536.1,552.2,535.1,568.7,544.0,552.2,544.0,130086,552.2,552.2,,71827536.1,71827536.1,,0,3,SUR,-1.48
18,TQBR,2023-11-28,ХЭНДЕРСОН,HNFG,3072,26394725.3,555.0,535.9,558.3,536.5,539.9,536.5,48887,539.9,539.9,,26394725.3,26394725.3,,0,3,SUR,-1.38
19,TQBR,2023-11-29,ХЭНДЕРСОН,HNFG,1923,41772547.7,537.5,537.5,557.6,541.6,541.0,541.6,77212,541.0,541.0,,41772547.7,41772547.7,,0,3,SUR,0.95
20,TQBR,2023-11-30,ХЭНДЕРСОН,HNFG,4807,90477780.0,538.1,515.0,543.3,516.3,526.8,516.3,171751,526.8,526.8,,90477780.0,90477780.0,,0,3,SUR,-4.67
21,TQBR,2023-12-01,ХЭНДЕРСОН,HNFG,3921,48105635.9,517.9,512.0,540.0,513.0,524.0,513.0,91806,524.0,524.0,,48105635.9,48105635.9,,0,3,SUR,-0.64
22,TQBR,2023-12-04,ХЭНДЕРСОН,HNFG,6124,103744710.1,515.0,482.0,520.4,492.0,498.2,492.0,208234,498.2,498.2,,103744710.1,103744710.1,,0,3,SUR,-4.09
23,TQBR,2023-12-05,ХЭНДЕРСОН,HNFG,7404,54310073.1,492.5,476.1,500.0,492.9,485.2,492.9,111941,485.2,485.2,,54310073.1,54310073.1,,0,3,SUR,0.18
24,TQBR,2023-12-06,ХЭНДЕРСОН,HNFG,3303,26620879.5,494.2,488.8,504.4,499.0,497.8,499.0,53479,497.8,497.8,,26620879.5,26620879.5,,0,3,SUR,1.24
25,TQBR,2023-12-07,ХЭНДЕРСОН,HNFG,1962,17669412.8,500.0,485.1,501.0,495.5,495.0,495.5,35693,495.0,495.0,,17669412.8,17669412.8,,0,3,SUR,-0.7
26,TQBR,2023-12-08,ХЭНДЕРСОН,HNFG,5154,47682082.1,494.9,493.4,539.8,508.0,519.5,508.0,91782,519.5,519.5,,47682082.1,47682082.1,,0,3,SUR,2.52
27,TQBR,2023-12-11,ХЭНДЕРСОН,HNFG,6688,68906204.5,513.2,494.9,529.8,500.3,514.7,500.3,133873,514.7,514.7,,68906204.5,68906204.5,,0,3,SUR,-1.52
28,TQBR,2023-12-12,ХЭНДЕРСОН,HNFG,14648,146378378.9,520.0,502.5,559.9,530.2,533.2,530.2,274509,533.2,533.2,,146378378.9,146378378.9,,0,3,SUR,5.98
29,TQBR,2023-12-13,ХЭНДЕРСОН,HNFG,12890,171498682.8,544.8,530.6,580.7,551.8,556.0,551.8,308435,556.0,556.0,,171498682.8,171498682.8,,0,3,SUR,4.07
30,TQBR,2023-12-14,ХЭНДЕРСОН,HNFG,5480,58747872.7,554.0,530.6,570.0,535.0,542.4,535.0,108311,542.4,542.4,,58747872.7,58747872.7,,0,3,SUR,-3.04
31,TQBR,2023-12-15,ХЭНДЕРСОН,HNFG,3978,42454725.4,544.8,530.6,559.8,551.0,548.4,551.0,77410,548.4,548.4,,42454725.4,42454725.4,,0,3,SUR,2.99
32,TQBR,2023-12-18,ХЭНДЕРСОН,HNFG,4158,56153056.6,554.8,546.0,565.0,561.7,555.9,561.7,101007,555.9,555.9,,56153056.6,56153056.6,,0,3,SUR,1.94
33,TQBR,2023-12-19,ХЭНДЕРСОН,HNFG,3888,42560365.9,565.4,545.2,566.5,560.1,556.7,560.1,76447,556.7,556.7,,42560365.9,42560365.9,,0,3,SUR,-0.28
34,TQBR,2023-12-20,ХЭНДЕРСОН,HNFG,2880,26470987.2,561.0,546.6,561.3,560.0,555.7,560.0,47635,555.7,555.7,,26470987.2,26470987.2,,0,3,SUR,-0.02
35,TQBR,2023-12-21,ХЭНДЕРСОН,HNFG,4362,68200685.0,505.0,505.0,560.0,536.0,537.7,536.0,126834,537.7,537.7,,68200685.0,68200685.0,,0,3,SUR,-4.29
36,TQBR,2023-12-22,ХЭНДЕРСОН,HNFG,4563,50371510.5,538.0,533.4,558.0,541.1,541.2,541.1,93069,541.2,541.2,,50371510.5,50371510.5,,0,3,SUR,0.95
37,TQBR,2023-12-25,ХЭНДЕРСОН,HNFG,4151,40060372.9,542.8,542.7,561.3,550.0,551.1,550.0,72690,551.1,551.1,,40060372.9,40060372.9,,0,3,SUR,1.64
38,TQBR,2023-12-26,ХЭНДЕРСОН,HNFG,3665,49129090.2,552.9,535.0,559.0,535.6,540.9,535.6,90833,540.9,540.9,,49129090.2,49129090.2,,0,3,SUR,-2.62
