,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-06-04,iИВА,IVAT,24705,652652006.15,304.45,295.55,309.95,297.6,302.35,297.6,2174069,300.2,300.2,,652652006.15,652652006.15,,0,3,SUR,
1,TQBR,2024-06-05,iИВА,IVAT,12468,177797440.15,298.85,288.0,301.0,288.0,298.0,288.0,596642,298.0,298.0,,177797440.15,177797440.15,,0,3,SUR,-3.23
2,TQBR,2024-06-06,iИВА,IVAT,9745,167647901.6,294.1,294.1,299.0,297.65,298.25,297.65,561742,298.45,298.45,,167647901.6,167647901.6,,0,3,SUR,3.35
3,TQBR,2024-06-07,iИВА,IVAT,11275,229113254.3,298.5,297.7,303.0,302.25,299.85,302.25,763660,300.0,300.0,,229113254.3,229113254.3,,0,3,SUR,1.55
4,TQBR,2024-06-10,iИВА,IVAT,7578,103050127.85,303.0,297.65,305.0,299.0,300.5,299.0,341983,301.35,301.35,,103050127.85,103050127.85,,0,3,SUR,-1.08
5,TQBR,2024-06-11,iИВА,IVAT,5607,76278096.3,299.95,291.95,301.25,293.5,295.65,293.5,257467,296.25,296.25,,76278096.3,76278096.3,,0,3,SUR,-1.84
6,TQBR,2024-06-13,iИВА,IVAT,6489,113319924.8,291.0,288.0,299.5,293.8,294.6,293.8,385133,294.25,294.25,,113319924.8,113319924.8,,0,3,SUR,0.1
7,TQBR,2024-06-14,iИВА,IVAT,4169,54241147.7,296.0,295.5,299.0,299.0,296.7,299.0,182178,297.75,297.75,,54241147.7,54241147.7,,0,3,SUR,1.77
8,TQBR,2024-06-17,iИВА,IVAT,3039,56891059.9,300.3,297.0,301.25,298.0,299.25,298.0,190054,299.35,299.35,,56891059.9,56891059.9,,0,3,SUR,-0.33
9,TQBR,2024-06-18,iИВА,IVAT,2685,21236971.45,298.0,294.0,299.35,294.8,296.25,294.8,71777,295.85,295.85,,21236971.45,21236971.45,,0,3,SUR,-1.07
10,TQBR,2024-06-19,iИВА,IVAT,3651,38777262.8,297.0,291.8,297.8,293.1,294.2,293.1,131947,293.9,293.9,,38777262.8,38777262.8,,0,3,SUR,-0.58
11,TQBR,2024-06-20,iИВА,IVAT,3833,58429735.25,294.8,291.95,297.65,292.0,294.7,292.0,198251,294.75,294.75,,58429735.25,58429735.25,,0,3,SUR,-0.38
12,TQBR,2024-06-21,iИВА,IVAT,2521,21525186.15,294.0,291.0,295.5,292.2,293.3,292.2,73457,293.05,293.05,,21525186.15,21525186.15,,0,3,SUR,0.07
