,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
1,TQBR,2014-06-10,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
2,TQBR,2014-06-11,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
3,TQBR,2014-06-16,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
4,TQBR,2014-06-17,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
5,TQBR,2014-06-18,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
6,TQBR,2014-06-19,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
7,TQBR,2014-06-20,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
8,TQBR,2014-06-23,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
9,TQBR,2014-06-24,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
10,TQBR,2014-06-25,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
11,TQBR,2014-06-26,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
12,TQBR,2014-06-27,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
13,TQBR,2014-06-30,КамчатЭ ап,KCHEP,0,0.0,,,,0.065,,,0,,,,0,0,0.0,,3,SUR,
14,TQBR,2014-07-01,КамчатЭ ап,KCHEP,24,257746.1,0.08376,0.047,0.088,0.05595,0.06747,0.05557,3820000,,,,0,0,0.0,,3,SUR,-14.51
15,TQBR,2014-07-02,КамчатЭ ап,KCHEP,3,3516.1,0.051,0.0501,0.051,0.05023,0.05023,0.0501,70000,,,,0,0,0.0,,3,SUR,-9.84
16,TQBR,2014-07-03,КамчатЭ ап,KCHEP,10,11998.0,0.05995,0.05995,0.06,0.06,0.05999,0.06,200000,,,,0,0,0.0,,3,SUR,19.76
17,TQBR,2014-07-04,КамчатЭ ап,KCHEP,0,0.0,,,,0.06,,,0,,,,0,0,0.0,,3,SUR,
18,TQBR,2014-07-07,КамчатЭ ап,KCHEP,0,0.0,,,,0.06,,,0,,,,0,0,0.0,,3,SUR,
19,TQBR,2014-07-08,КамчатЭ ап,KCHEP,0,0.0,,,,0.06,,,0,,,,0,0,0.0,,3,SUR,
20,TQBR,2014-07-09,КамчатЭ ап,KCHEP,0,0.0,,,,0.06,,,0,,,,0,0,0.0,,3,SUR,
21,TQBR,2014-07-10,КамчатЭ ап,KCHEP,1,3825.6,0.06376,0.06376,0.06376,0.06376,0.06376,0.06376,60000,,,,0,0,0.0,,3,SUR,6.27
22,TQBR,2014-07-11,КамчатЭ ап,KCHEP,3,2065.6,0.05201,0.05151,0.05201,0.05164,0.05164,0.05151,40000,,,,0,0,0.0,,3,SUR,-19.21
23,TQBR,2014-07-14,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
24,TQBR,2014-07-15,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
25,TQBR,2014-07-16,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
26,TQBR,2014-07-17,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
27,TQBR,2014-07-18,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
28,TQBR,2014-07-21,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
29,TQBR,2014-07-22,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
30,TQBR,2014-07-23,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
31,TQBR,2014-07-24,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
32,TQBR,2014-07-25,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
33,TQBR,2014-07-28,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
34,TQBR,2014-07-29,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
35,TQBR,2014-07-30,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
36,TQBR,2014-07-31,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
37,TQBR,2014-08-01,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
38,TQBR,2014-08-04,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
39,TQBR,2014-08-05,КамчатЭ ап,KCHEP,0,0.0,,,,0.05164,,,0,,,,0,0,0.0,,3,SUR,
40,TQBR,2014-08-06,КамчатЭ ап,KCHEP,5,22358.6,0.05215,0.05026,0.05215,0.052,0.052,0.05205,430000,,,,0,0,0.0,,3,SUR,1.05
