,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
1,TQBR,2014-06-10,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
2,TQBR,2014-06-11,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
3,TQBR,2014-06-16,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
4,TQBR,2014-06-17,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
5,TQBR,2014-06-18,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
6,TQBR,2014-06-19,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
7,TQBR,2014-06-20,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
8,TQBR,2014-06-23,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
9,TQBR,2014-06-24,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
10,TQBR,2014-06-25,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
11,TQBR,2014-06-26,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
12,TQBR,2014-06-27,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
13,TQBR,2014-06-30,КурганГКао,KGKC,1,4701,47.01,47.01,47.01,47.01,47.01,47.01,100,,,,0,0,0.0,,3,SUR,0.0
14,TQBR,2014-07-01,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
15,TQBR,2014-07-02,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
16,TQBR,2014-07-03,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
17,TQBR,2014-07-04,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
18,TQBR,2014-07-07,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
19,TQBR,2014-07-08,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
20,TQBR,2014-07-09,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
21,TQBR,2014-07-10,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
22,TQBR,2014-07-11,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
23,TQBR,2014-07-14,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
24,TQBR,2014-07-15,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
25,TQBR,2014-07-16,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
26,TQBR,2014-07-17,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
27,TQBR,2014-07-18,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
28,TQBR,2014-07-21,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
29,TQBR,2014-07-22,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
30,TQBR,2014-07-23,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
31,TQBR,2014-07-24,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
32,TQBR,2014-07-25,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
33,TQBR,2014-07-28,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,SUR,
34,TQBR,2014-07-29,КурганГКао,KGKC,2,9900000,45.0,45.0,45.0,45.0,45.0,45.0,220000,,44.99,,0,9932792,0.0,,3,SUR,-4.28
35,TQBR,2014-07-30,КурганГКао,KGKC,2,9928600,45.13,45.13,45.13,45.13,45.13,45.13,220000,,45.06,,0,19855382,0.0,,3,SUR,0.29
36,TQBR,2014-07-31,КурганГКао,KGKC,1,4700,47.0,47.0,47.0,47.0,47.0,47.0,100,,45.07,,0,19856482,0.0,,3,SUR,4.14
37,TQBR,2014-08-01,КурганГКао,KGKC,0,0,,,,47.0,,,0,,45.07,,0,19856482,0.0,,3,SUR,
38,TQBR,2014-08-04,КурганГКао,KGKC,0,0,,,,47.0,,,0,,45.07,,0,19856482,0.0,,3,SUR,
39,TQBR,2014-08-05,КурганГКао,KGKC,0,0,,,,47.0,,,0,,45.07,,0,19856482,0.0,,3,SUR,
40,TQBR,2014-08-06,КурганГКао,KGKC,5,16729,28.2,28.2,44.99,44.99,33.46,44.99,500,45.05,45.05,45.05,19850029,19850029,19850029.0,,3,SUR,-4.28
41,TQBR,2014-08-07,КурганГКао,KGKC,0,0,,,,44.99,,,0,45.05,45.05,45.05,19850029,19850029,19850029.0,,3,SUR,
42,TQBR,2014-08-08,КурганГКао,KGKC,0,0,,,,44.99,,,0,45.05,45.05,45.05,19850029,19850029,19850029.0,,3,SUR,
43,TQBR,2014-08-11,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
44,TQBR,2014-08-12,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
45,TQBR,2014-08-13,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
46,TQBR,2014-08-14,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
47,TQBR,2014-08-15,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
48,TQBR,2014-08-18,КурганГКао,KGKC,0,0,,,,44.99,,,0,,45.05,,0,19850029,0.0,,3,SUR,
