,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
1,TQBR,2014-06-10,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
2,TQBR,2014-06-11,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
3,TQBR,2014-06-16,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
4,TQBR,2014-06-17,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
5,TQBR,2014-06-18,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
6,TQBR,2014-06-19,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
7,TQBR,2014-06-20,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
8,TQBR,2014-06-23,КалужскСК,KLSB,0,0.0,,,,5.382,,,0,,,,0,0,0.0,,3,SUR,
9,TQBR,2014-06-24,КалужскСК,KLSB,1,525.4,5.254,5.254,5.254,5.254,5.254,5.254,100,,,,0,0,0.0,,3,SUR,-2.38
10,TQBR,2014-06-25,КалужскСК,KLSB,0,0.0,,,,5.254,,,0,,,,0,0,0.0,,3,SUR,
11,TQBR,2014-06-26,КалужскСК,KLSB,0,0.0,,,,5.254,,,0,,,,0,0,0.0,,3,SUR,
12,TQBR,2014-06-27,КалужскСК,KLSB,0,0.0,,,,5.254,,,0,,,,0,0,0.0,,3,SUR,
13,TQBR,2014-06-30,КалужскСК,KLSB,0,0.0,,,,5.254,,,0,,,,0,0,0.0,,3,SUR,
14,TQBR,2014-07-01,КалужскСК,KLSB,3,1048.9,3.2,3.2,4.089,4.089,3.496,4.089,300,,,,0,0,0.0,,3,SUR,-22.17
