,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-02-22,Кристалл,KLVZ,12880,229173926.4,9.0,7.65,9.0,8.1,8.234,8.1,27831000,8.234,8.234,,229173926.4,229173926.4,,0,3,SUR,
1,TQBR,2024-02-26,Кристалл,KLVZ,10938,129810256.4,8.2,7.65,8.35,7.683,7.845,7.683,16546400,7.845,7.845,,129810256.4,129810256.4,,0,3,SUR,-5.15
2,TQBR,2024-02-27,Кристалл,KLVZ,10998,118829278.8,7.68,7.257,7.713,7.39,7.448,7.39,15955500,7.448,7.448,,118829278.8,118829278.8,,0,3,SUR,-3.81
3,TQBR,2024-02-28,Кристалл,KLVZ,4555,54744770.8,7.4,7.39,7.66,7.515,7.502,7.515,7297700,7.502,7.502,,54744770.8,54744770.8,,0,3,SUR,1.69
4,TQBR,2024-02-29,Кристалл,KLVZ,16357,284678090.7,7.515,7.41,8.6,8.484,8.198,8.484,34725600,8.198,8.198,,284678090.7,284678090.7,,0,3,SUR,12.89
5,TQBR,2024-03-01,Кристалл,KLVZ,8274,146578927.7,8.5,8.088,8.888,8.433,8.524,8.433,17195600,8.524,8.524,,146578927.7,146578927.7,,0,3,SUR,-0.6
6,TQBR,2024-03-04,Кристалл,KLVZ,3350,56122380.1,8.451,8.41,8.7,8.643,8.536,8.643,6587300,8.52,8.52,,56122380.1,56122380.1,,0,3,SUR,2.49
7,TQBR,2024-03-05,Кристалл,KLVZ,2815,38021091.2,8.643,8.18,8.73,8.3,8.433,8.3,4508700,8.433,8.433,,38021091.2,38021091.2,,0,3,SUR,-3.97
8,TQBR,2024-03-06,Кристалл,KLVZ,1926,26247622.1,8.396,8.192,8.485,8.23,8.284,8.23,3168400,8.284,8.284,,26247622.1,26247622.1,,0,3,SUR,-0.84
9,TQBR,2024-03-07,Кристалл,KLVZ,2071,35912801.7,8.24,8.15,8.665,8.506,8.407,8.506,4272000,8.407,8.407,,35912801.7,35912801.7,,0,3,SUR,3.35
10,TQBR,2024-03-11,Кристалл,KLVZ,1462,22503420.9,8.41,8.331,8.617,8.476,8.433,8.476,2668600,8.433,8.433,,22503420.9,22503420.9,,0,3,SUR,-0.35
11,TQBR,2024-03-12,Кристалл,KLVZ,1379,23230211.2,8.479,8.33,8.588,8.5,8.454,8.5,2747800,8.454,8.454,,23230211.2,23230211.2,,0,3,SUR,0.28
12,TQBR,2024-03-13,Кристалл,KLVZ,1407,19483345.1,8.495,8.263,8.495,8.449,8.374,8.449,2326700,8.374,8.374,,19483345.1,19483345.1,,0,3,SUR,-0.6
13,TQBR,2024-03-14,Кристалл,KLVZ,1186,14387818.7,8.52,8.264,8.52,8.454,8.392,8.454,1714500,8.392,8.392,,14387818.7,14387818.7,,0,3,SUR,0.06
14,TQBR,2024-03-15,Кристалл,KLVZ,1045,10763617.8,8.317,8.165,8.479,8.479,8.406,8.479,1280500,8.406,8.406,,10763617.8,10763617.8,,0,3,SUR,0.3
15,TQBR,2024-03-18,Кристалл,KLVZ,1267,17370365.4,8.479,8.29,8.479,8.415,8.391,8.415,2070200,8.391,8.391,,17370365.4,17370365.4,,0,3,SUR,-0.75
16,TQBR,2024-03-19,Кристалл,KLVZ,843,16735131.8,8.468,8.362,8.468,8.386,8.41,8.386,1989800,8.41,8.41,,16735131.8,16735131.8,,0,3,SUR,-0.34
17,TQBR,2024-03-20,Кристалл,KLVZ,1549,19254131.4,8.397,8.221,8.4,8.392,8.33,8.37,2311300,8.33,8.33,,19254131.4,19254131.4,,0,3,SUR,-0.19
18,TQBR,2024-03-21,Кристалл,KLVZ,1057,17305970.1,8.37,8.28,8.459,8.445,8.37,8.445,2067500,8.37,8.37,,17305970.1,17305970.1,,0,3,SUR,0.9
19,TQBR,2024-03-22,Кристалл,KLVZ,1142,25841269.5,8.41,8.236,8.462,8.415,8.34,8.415,3098300,8.34,8.34,,25841269.5,25841269.5,,0,3,SUR,-0.36
20,TQBR,2024-03-25,Кристалл,KLVZ,578,5936379.6,8.4,8.26,8.4,8.285,8.3,8.285,715200,8.3,8.3,,5936379.6,5936379.6,,0,3,SUR,-1.54
21,TQBR,2024-03-26,Кристалл,KLVZ,1115,14349003.7,8.287,8.111,8.3,8.128,8.207,8.128,1748300,8.207,8.207,,14349003.7,14349003.7,,0,3,SUR,-1.89
22,TQBR,2024-03-27,Кристалл,KLVZ,1827,18994533.5,8.167,7.889,8.167,7.931,7.982,7.931,2379700,7.982,7.982,,18994533.5,18994533.5,,0,3,SUR,-2.42
23,TQBR,2024-03-28,Кристалл,KLVZ,1477,16375600.8,7.95,7.94,8.23,7.991,8.073,7.991,2028500,8.073,8.073,,16375600.8,16375600.8,,0,3,SUR,0.76
