,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2014-06-10,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
2,TQBR,2014-06-11,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
3,TQBR,2014-06-16,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
4,TQBR,2014-06-17,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
5,TQBR,2014-06-18,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
6,TQBR,2014-06-19,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
7,TQBR,2014-06-20,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
8,TQBR,2014-06-23,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
9,TQBR,2014-06-24,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
10,TQBR,2014-06-25,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
11,TQBR,2014-06-26,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
12,TQBR,2014-06-27,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
13,TQBR,2014-06-30,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
14,TQBR,2014-07-01,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
15,TQBR,2014-07-02,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
16,TQBR,2014-07-03,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
17,TQBR,2014-07-04,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,SUR,
18,TQBR,2014-07-07,КузнецкийБ,KUZB,1,160.3,0.01603,0.01603,0.01603,0.01603,0.01603,0.01603,10000,,,,0.0,0.0,0.0,,3,SUR,-21.77
19,TQBR,2014-07-08,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
20,TQBR,2014-07-09,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
21,TQBR,2014-07-10,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
22,TQBR,2014-07-11,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
23,TQBR,2014-07-14,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
24,TQBR,2014-07-15,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
25,TQBR,2014-07-16,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
26,TQBR,2014-07-17,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
27,TQBR,2014-07-18,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
28,TQBR,2014-07-21,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
29,TQBR,2014-07-22,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
30,TQBR,2014-07-23,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
31,TQBR,2014-07-24,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
32,TQBR,2014-07-25,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
33,TQBR,2014-07-28,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,SUR,
34,TQBR,2014-07-29,КузнецкийБ,KUZB,3,552.1,0.01841,0.0184,0.01841,0.0184,0.0184,0.0184,30000,,,,0.0,0.0,0.0,,3,SUR,14.78
35,TQBR,2014-07-30,КузнецкийБ,KUZB,0,0.0,,,,0.0184,,,0,,,,0.0,0.0,0.0,,3,SUR,
