,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-03-29,Европлан,LEAS,145943,5139557831.2,1000.0,950.0,1070.0,950.0,937.7,950.0,5161193,995.8,995.8,,5139557831.2,5139557831.2,,0,3,SUR,
1,TQBR,2024-04-01,Европлан,LEAS,34888,1192824154.0,950.0,930.0,980.0,976.2,965.1,976.2,1235147,965.7,965.7,,1192824154.0,1192824154.0,,0,3,SUR,2.76
2,TQBR,2024-04-02,Европлан,LEAS,39171,425543978.6,978.7,956.3,980.0,960.0,965.8,960.0,440637,965.7,965.7,,425543978.6,425543978.6,,0,3,SUR,-1.66
3,TQBR,2024-04-03,Европлан,LEAS,18741,701961951.5,960.5,957.7,985.6,984.2,972.8,984.2,721561,972.8,972.8,,701961951.5,701961951.5,,0,3,SUR,2.52
4,TQBR,2024-04-04,Европлан,LEAS,24045,876888175.0,985.8,977.0,1024.0,1005.0,1000.1,1005.0,876915,1000.0,1000.0,,876888175.0,876888175.0,,0,3,SUR,2.11
5,TQBR,2024-04-05,Европлан,LEAS,26720,781331249.7,1005.2,991.0,1018.0,1011.5,1008.6,1011.5,774458,1008.9,1008.9,,781331249.7,781331249.7,,0,3,SUR,0.65
6,TQBR,2024-04-08,Европлан,LEAS,11453,432967010.2,1015.8,1011.5,1024.0,1015.5,1019.1,1015.5,424832,1019.1,1019.1,,432967010.2,432967010.2,,0,3,SUR,0.4
7,TQBR,2024-04-09,Европлан,LEAS,20049,461168589.3,1017.0,991.4,1021.4,997.9,1003.7,997.9,459651,1003.3,1003.3,,461168589.3,461168589.3,,0,3,SUR,-1.73
8,TQBR,2024-04-10,Европлан,LEAS,14789,393523610.3,998.5,991.0,1009.0,1002.0,998.3,1002.0,394192,998.3,998.3,,393523610.3,393523610.3,,0,3,SUR,0.41
9,TQBR,2024-04-11,Европлан,LEAS,10398,301441945.1,1003.0,995.1,1015.8,1005.0,1003.3,1005.0,300462,1003.3,1003.3,,301441945.1,301441945.1,,0,3,SUR,0.3
10,TQBR,2024-04-12,Европлан,LEAS,12459,231143531.1,1005.0,995.2,1014.9,997.1,1002.7,997.1,230511,1002.7,1002.7,,231143531.1,231143531.1,,0,3,SUR,-0.79
11,TQBR,2024-04-15,Европлан,LEAS,18060,260837669.9,1007.9,991.0,1007.9,991.7,996.0,991.7,261884,996.0,996.0,,260837669.9,260837669.9,,0,3,SUR,-0.54
12,TQBR,2024-04-16,Европлан,LEAS,27323,503038617.1,993.7,991.4,1010.0,1008.0,1005.4,1008.0,500329,1005.4,1005.4,,503038617.1,503038617.1,,0,3,SUR,1.64
13,TQBR,2024-04-17,Европлан,LEAS,9822,298572630.0,1011.1,1001.0,1017.2,1004.3,1008.0,1004.3,296216,1008.0,1008.0,,298572630.0,298572630.0,,0,3,SUR,-0.37
14,TQBR,2024-04-18,Европлан,LEAS,8160,269141053.2,1004.3,1001.1,1014.3,1005.0,1006.9,1005.0,267287,1006.9,1006.9,,269141053.2,269141053.2,,0,3,SUR,0.07
15,TQBR,2024-04-19,Европлан,LEAS,33490,1199204455.6,1005.0,1002.1,1048.8,1040.0,1029.9,1040.0,1164353,1029.9,1029.9,,1199204455.6,1199204455.6,,0,3,SUR,3.48
16,TQBR,2024-04-22,Европлан,LEAS,17538,735154355.9,1040.0,1025.8,1048.7,1044.0,1037.8,1044.0,708410,1037.8,1037.8,,735154355.9,735154355.9,,0,3,SUR,0.38
17,TQBR,2024-04-23,Европлан,LEAS,14820,457377553.9,1045.0,1025.1,1054.0,1037.2,1040.7,1037.2,439503,1040.7,1040.7,,457377553.9,457377553.9,,0,3,SUR,-0.65
18,TQBR,2024-04-24,Европлан,LEAS,19382,685352074.5,1045.0,1031.0,1048.0,1044.0,1042.1,1044.0,657652,1042.1,1042.1,,685352074.5,685352074.5,,0,3,SUR,0.66
19,TQBR,2024-04-25,Европлан,LEAS,29991,690295129.6,1045.2,1033.0,1056.0,1050.0,1046.1,1050.0,659898,1046.1,1046.1,,690295129.6,690295129.6,,0,3,SUR,0.57
20,TQBR,2024-04-26,Европлан,LEAS,24965,547959251.4,1050.9,1030.5,1059.9,1054.7,1053.1,1054.7,520344,1053.1,1053.1,,547959251.4,547959251.4,,0,3,SUR,0.45
21,TQBR,2024-04-27,Европлан,LEAS,13186,410079545.1,1051.4,1030.0,1052.8,1047.0,1042.9,1047.0,393228,1042.9,1042.9,,410079545.1,410079545.1,,0,3,SUR,-0.73
22,TQBR,2024-04-29,Европлан,LEAS,5566,85142221.7,1047.1,1041.0,1059.9,1050.0,1051.0,1050.0,81012,1051.0,1051.0,,85142221.7,85142221.7,,0,3,SUR,0.29
23,TQBR,2024-04-30,Европлан,LEAS,3903,52722058.3,1050.0,1040.0,1053.6,1040.6,1043.3,1040.6,50533,1043.3,1043.3,,52722058.3,52722058.3,,0,3,SUR,-0.9
24,TQBR,2024-05-02,Европлан,LEAS,8455,172597283.1,1048.1,1030.7,1049.9,1046.5,1042.6,1046.5,165550,1042.6,1042.6,,172597283.1,172597283.1,,0,3,SUR,0.57
25,TQBR,2024-05-03,Европлан,LEAS,6839,114803483.5,1047.0,1043.5,1054.0,1047.2,1049.0,1047.2,109443,1049.0,1049.0,,114803483.5,114803483.5,,0,3,SUR,0.07
26,TQBR,2024-05-06,Европлан,LEAS,8457,154204311.4,1048.0,1032.0,1048.0,1035.5,1039.7,1035.5,148322,1039.7,1039.7,,154204311.4,154204311.4,,0,3,SUR,-1.12
27,TQBR,2024-05-07,Европлан,LEAS,8785,185576369.0,1035.5,1020.0,1035.5,1023.2,1026.6,1023.2,180761,1026.6,1026.6,,185576369.0,185576369.0,,0,3,SUR,-1.19
28,TQBR,2024-05-08,Европлан,LEAS,10430,184413874.4,1023.3,1010.0,1040.0,1038.7,1023.5,1038.7,180182,1023.5,1023.5,,184413874.4,184413874.4,,0,3,SUR,1.51
29,TQBR,2024-05-10,Европлан,LEAS,3053,43031376.7,1038.0,1035.0,1043.2,1036.3,1038.8,1036.3,41426,1038.8,1038.8,,43031376.7,43031376.7,,0,3,SUR,-0.23
30,TQBR,2024-05-13,Европлан,LEAS,9293,157254307.4,1031.0,1025.2,1036.5,1028.0,1029.2,1028.0,152787,1029.2,1029.2,,157254307.4,157254307.4,,0,3,SUR,-0.8
31,TQBR,2024-05-14,Европлан,LEAS,5865,104759229.5,1028.6,1020.6,1032.0,1025.9,1025.6,1025.9,102145,1025.6,1025.6,,104759229.5,104759229.5,,0,3,SUR,-0.2
32,TQBR,2024-05-15,Европлан,LEAS,6914,141602658.5,1025.9,1013.5,1029.8,1014.7,1018.9,1014.7,138976,1018.9,1018.9,,141602658.5,141602658.5,,0,3,SUR,-1.09
33,TQBR,2024-05-16,Европлан,LEAS,14000,389880920.9,1015.0,1004.2,1038.0,1028.6,1022.6,1028.6,381269,1022.6,1022.6,,389880920.9,389880920.9,,0,3,SUR,1.37
34,TQBR,2024-05-17,Европлан,LEAS,15778,324607669.6,1035.0,1029.0,1050.0,1045.1,1043.7,1045.1,311009,1043.7,1043.7,,324607669.6,324607669.6,,0,3,SUR,1.6
35,TQBR,2024-05-20,Европлан,LEAS,7911,129292198.7,1045.0,1035.0,1045.0,1040.7,1040.1,1040.7,124305,1040.1,1040.1,,129292198.7,129292198.7,,0,3,SUR,-0.42
36,TQBR,2024-05-21,Европлан,LEAS,7668,90760872.3,1040.7,1021.0,1040.8,1030.1,1030.9,1030.1,88038,1030.9,1030.9,,90760872.3,90760872.3,,0,3,SUR,-1.02
37,TQBR,2024-05-22,Европлан,LEAS,4962,76493988.3,1030.1,1025.2,1040.0,1033.0,1035.4,1033.0,73877,1035.4,1035.4,,76493988.3,76493988.3,,0,3,SUR,0.28
38,TQBR,2024-05-23,Европлан,LEAS,6679,121251848.2,1036.0,1022.4,1039.4,1027.6,1027.9,1027.6,117963,1027.9,1027.9,,121251848.2,121251848.2,,0,3,SUR,-0.52
39,TQBR,2024-05-24,Европлан,LEAS,11695,235393370.8,1037.0,1012.2,1040.0,1017.0,1023.7,1017.0,229953,1023.7,1023.7,,235393370.8,235393370.8,,0,3,SUR,-1.03
40,TQBR,2024-05-27,Европлан,LEAS,23355,321727688.5,1024.4,975.3,1024.5,976.6,994.6,976.6,323128,995.7,995.7,,321727688.5,321727688.5,,0,3,SUR,-3.97
41,TQBR,2024-05-28,Европлан,LEAS,9439,194273665.4,980.0,980.0,1000.0,989.0,991.5,989.0,195882,991.8,991.8,,194273665.4,194273665.4,,0,3,SUR,1.27
42,TQBR,2024-05-29,Европлан,LEAS,19641,152563302.2,989.0,971.0,992.4,976.9,976.9,976.9,156108,977.3,977.3,,152563302.2,152563302.2,,0,3,SUR,-1.22
43,TQBR,2024-05-30,Европлан,LEAS,14902,287757131.9,989.0,980.3,1017.9,996.4,1000.7,996.4,287453,1001.1,1001.1,,287757131.9,287757131.9,,0,3,SUR,2.0
44,TQBR,2024-05-31,Европлан,LEAS,12655,201076871.3,985.1,960.1,996.6,969.3,975.3,969.3,206160,975.3,975.3,,201076871.3,201076871.3,,0,3,SUR,-2.72
45,TQBR,2024-06-03,Европлан,LEAS,16773,307574621.6,970.0,920.2,984.3,982.8,950.4,982.8,323611,950.4,950.4,,307574621.6,307574621.6,,0,3,SUR,1.39
46,TQBR,2024-06-04,Европлан,LEAS,16582,286518631.3,989.0,975.0,1005.1,1000.9,996.5,1000.9,287528,996.5,996.5,,286518631.3,286518631.3,,0,3,SUR,1.84
47,TQBR,2024-06-05,Европлан,LEAS,15291,239681893.1,1000.8,1000.8,1023.5,1020.4,1012.7,1020.4,236145,1015.0,1015.0,,239681893.1,239681893.1,,0,3,SUR,1.95
48,TQBR,2024-06-06,Европлан,LEAS,5191,93616223.1,1020.0,1001.0,1023.0,1003.4,1007.7,1003.4,92897,1007.7,1007.7,,93616223.1,93616223.1,,0,3,SUR,-1.67
49,TQBR,2024-06-07,Европлан,LEAS,10623,164407906.3,1011.0,1005.0,1024.0,1012.0,1013.2,1012.0,162037,1014.6,1014.6,,164407906.3,164407906.3,,0,3,SUR,0.86
50,TQBR,2024-06-10,Европлан,LEAS,11589,280130742.3,1016.0,975.0,1020.0,1015.0,1016.0,1015.0,275688,1016.1,1016.1,,280130742.3,280130742.3,,0,3,SUR,0.3
51,TQBR,2024-06-11,Европлан,LEAS,11229,182307810.8,997.0,982.0,1004.0,988.0,992.9,988.0,183606,992.9,992.9,,182307810.8,182307810.8,,0,3,SUR,-2.66
52,TQBR,2024-06-13,Европлан,LEAS,11019,242610121.6,969.9,950.0,987.9,985.8,977.1,985.8,248334,977.0,977.0,,242610121.6,242610121.6,,0,3,SUR,-0.22
53,TQBR,2024-06-14,Европлан,LEAS,6477,135323927.9,984.0,975.2,999.0,995.0,990.1,995.0,136679,990.1,990.1,,135323927.9,135323927.9,,0,3,SUR,0.93
54,TQBR,2024-06-17,Европлан,LEAS,9129,166186279.0,995.2,953.7,1004.4,965.0,985.4,965.0,168687,985.2,985.2,,166186279.0,166186279.0,,0,3,SUR,-3.02
55,TQBR,2024-06-18,Европлан,LEAS,7394,162920241.0,965.1,934.0,980.2,952.3,964.7,952.3,168924,964.5,964.5,,162920241.0,162920241.0,,0,3,SUR,-1.32
56,TQBR,2024-06-19,Европлан,LEAS,13784,153715856.6,952.7,925.7,966.0,938.4,943.1,938.4,162982,943.1,943.1,,153715856.6,153715856.6,,0,3,SUR,-1.46
57,TQBR,2024-06-20,Европлан,LEAS,14864,551293961.4,940.2,920.8,964.8,952.0,946.7,952.0,582309,946.7,946.7,,551293961.4,551293961.4,,0,3,SUR,1.45
58,TQBR,2024-06-21,Европлан,LEAS,6281,160666307.7,957.0,932.2,963.0,938.4,947.8,941.5,169528,948.1,948.1,,152762584.9,152762584.9,,0,3,SUR,-1.1
59,TQBR,2024-06-24,Европлан,LEAS,15574,156746532.8,950.0,921.2,960.0,947.8,932.2,935.2,168204,931.9,931.9,,148242410.7,148242410.7,,0,3,SUR,-0.67
60,TQBR,2024-06-25,Европлан,LEAS,10065,173222790.0,934.0,911.0,934.9,912.8,917.6,915.4,188809,917.7,917.7,,147730588.0,147730588.0,,0,3,SUR,-2.12
61,TQBR,2024-06-26,Европлан,LEAS,26169,362723717.5,916.0,900.4,937.8,917.0,914.1,930.3,396506,912.7,912.7,,316090726.4,316090726.4,,0,3,SUR,1.63
62,TQBR,2024-06-27,Европлан,LEAS,22691,244813221.1,930.0,905.1,931.3,911.4,911.2,908.5,268675,911.2,911.2,,224541305.8,224541305.8,,0,3,SUR,-2.34
63,TQBR,2024-06-28,Европлан,LEAS,11261,178948946.5,916.8,906.5,920.0,911.5,913.6,911.8,195869,913.7,913.7,,165858425.3,165858425.3,,0,3,SUR,0.36
64,TQBR,2024-07-01,Европлан,LEAS,6834,93164211.4,913.3,910.1,920.0,911.0,914.8,914.9,101838,915.1,915.1,,83297813.5,83297813.5,,0,3,SUR,0.34
65,TQBR,2024-07-02,Европлан,LEAS,7495,88561203.7,914.9,907.0,915.0,907.0,909.7,909.0,97353,909.8,909.8,,81095227.9,81095227.9,,0,3,SUR,-0.64
66,TQBR,2024-07-03,Европлан,LEAS,14998,212035974.0,909.1,893.0,910.3,897.9,900.7,901.0,235412,900.9,900.9,,181915309.6,181915309.6,,0,3,SUR,-0.88
67,TQBR,2024-07-04,Европлан,LEAS,9526,125811803.1,901.5,877.7,904.0,889.1,891.3,880.0,141157,893.2,893.2,,99032294.9,99032294.9,,0,3,SUR,-2.33
