,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2023-12-28,МГКЛ,MGKL,9358,68424044.7,2.3995,2.314,2.6,2.37,2.448,2.37,28459300,2.4045,2.4045,,68424044.7,68424044.7,,0,3,SUR,
1,TQBR,2023-12-29,МГКЛ,MGKL,6731,51051365.95,2.349,2.3435,2.5195,2.365,2.421,2.365,21088800,2.421,2.421,,51051365.95,51051365.95,,0,3,SUR,-0.21
2,TQBR,2024-01-03,МГКЛ,MGKL,3806,26127494.3,2.389,2.2265,2.389,2.35,2.331,2.35,11208600,2.331,2.331,,26127494.3,26127494.3,,0,3,SUR,-0.63
3,TQBR,2024-01-04,МГКЛ,MGKL,1606,11547738.65,2.343,2.3355,2.415,2.3545,2.365,2.357,4882900,2.365,2.365,,11547738.65,11547738.65,,0,3,SUR,0.3
4,TQBR,2024-01-05,МГКЛ,MGKL,1333,10846045.6,2.3745,2.33,2.45,2.3525,2.379,2.3525,4558800,2.379,2.379,,10846045.6,10846045.6,,0,3,SUR,-0.19
5,TQBR,2024-01-08,МГКЛ,MGKL,4779,45814807.2,2.3535,2.353,2.57,2.421,2.457,2.421,18645100,2.457,2.457,,45814807.2,45814807.2,,0,3,SUR,2.91
6,TQBR,2024-01-09,МГКЛ,MGKL,2320,18186520.15,2.4455,2.381,2.52,2.505,2.439,2.505,7456900,2.439,2.439,,18186520.15,18186520.15,,0,3,SUR,3.47
7,TQBR,2024-01-10,МГКЛ,MGKL,53085,941983400.7,2.505,2.5025,3.048,2.586,2.6685,2.586,353370100,2.6655,2.6655,,941983400.7,941983400.7,,0,3,SUR,3.23
8,TQBR,2024-01-11,МГКЛ,MGKL,14298,186619979.25,2.59,2.433,2.629,2.47,2.494,2.47,74825000,2.494,2.494,,186619979.25,186619979.25,,0,3,SUR,-4.49
9,TQBR,2024-01-12,МГКЛ,MGKL,9854,112187351.8,2.481,2.373,2.523,2.461,2.4575,2.461,45652300,2.4575,2.4575,,112187351.8,112187351.8,,0,3,SUR,-0.36
10,TQBR,2024-01-15,МГКЛ,MGKL,7947,91215716.65,2.4795,2.4505,2.5795,2.4655,2.504,2.4655,36426000,2.504,2.504,,91215716.65,91215716.65,,0,3,SUR,0.18
11,TQBR,2024-01-16,МГКЛ,MGKL,20493,310468189.75,2.4655,2.402,2.6215,2.5,2.5495,2.5,121781400,2.5495,2.5495,,310468189.75,310468189.75,,0,3,SUR,1.4
12,TQBR,2024-01-17,МГКЛ,MGKL,5487,56715581.45,2.5,2.49,2.56,2.5355,2.5305,2.5355,22411800,2.5305,2.5305,,56715581.45,56715581.45,,0,3,SUR,1.42
13,TQBR,2024-01-18,МГКЛ,MGKL,9181,123321253.4,2.59,2.5135,2.635,2.615,2.5785,2.615,47825200,2.5785,2.5785,,123321253.4,123321253.4,,0,3,SUR,3.14
14,TQBR,2024-01-19,МГКЛ,MGKL,14727,171168998.05,2.62,2.55,2.675,2.575,2.6155,2.575,65449300,2.6155,2.6155,,171168998.05,171168998.05,,0,3,SUR,-1.53
15,TQBR,2024-01-22,МГКЛ,MGKL,6751,76393023.5,2.59,2.553,2.6495,2.603,2.6085,2.603,29285300,2.6085,2.6085,,76393023.5,76393023.5,,0,3,SUR,1.09
16,TQBR,2024-01-23,МГКЛ,MGKL,4968,48950059.35,2.605,2.5605,2.63,2.602,2.5905,2.602,18896800,2.5905,2.5905,,48950059.35,48950059.35,,0,3,SUR,-0.04
17,TQBR,2024-01-24,МГКЛ,MGKL,3108,22296807.25,2.603,2.5625,2.61,2.573,2.5835,2.573,8630600,2.5835,2.5835,,22296807.25,22296807.25,,0,3,SUR,-1.11
18,TQBR,2024-01-25,МГКЛ,MGKL,6470,68636278.95,2.5465,2.4495,2.567,2.485,2.499,2.485,27466300,2.499,2.499,,68636278.95,68636278.95,,0,3,SUR,-3.42
19,TQBR,2024-01-26,МГКЛ,MGKL,5239,42205738.6,2.485,2.4125,2.5235,2.43,2.463,2.43,17137400,2.463,2.463,,42205738.6,42205738.6,,0,3,SUR,-2.21
20,TQBR,2024-01-29,МГКЛ,MGKL,3289,29043957.55,2.4315,2.43,2.4975,2.464,2.4655,2.464,11779300,2.4655,2.4655,,29043957.55,29043957.55,,0,3,SUR,1.4
21,TQBR,2024-01-30,МГКЛ,MGKL,3075,22756558.95,2.45,2.42,2.486,2.4315,2.446,2.4315,9303000,2.446,2.446,,22756558.95,22756558.95,,0,3,SUR,-1.32
22,TQBR,2024-01-31,МГКЛ,MGKL,6351,70396948.75,2.432,2.432,2.53,2.5,2.4925,2.5,28245300,2.4925,2.4925,,70396948.75,70396948.75,,0,3,SUR,2.82
23,TQBR,2024-02-01,МГКЛ,MGKL,2433,20131191.7,2.5075,2.443,2.5075,2.45,2.4685,2.45,8154700,2.4685,2.4685,,20131191.7,20131191.7,,0,3,SUR,-2.0
24,TQBR,2024-02-02,МГКЛ,MGKL,2309,18307543.6,2.4775,2.42,2.486,2.43,2.453,2.43,7463000,2.453,2.453,,18307543.6,18307543.6,,0,3,SUR,-0.82
25,TQBR,2024-02-05,МГКЛ,MGKL,1577,10183286.85,2.445,2.43,2.4655,2.435,2.4425,2.435,4169200,2.4425,2.4425,,10183286.85,10183286.85,,0,3,SUR,0.21
26,TQBR,2024-02-06,МГКЛ,MGKL,1284,10078814.85,2.4525,2.43,2.4525,2.435,2.441,2.435,4129300,2.441,2.441,,10078814.85,10078814.85,,0,3,SUR,0.0
27,TQBR,2024-02-07,МГКЛ,MGKL,2506,23058131.5,2.436,2.436,2.482,2.482,2.464,2.482,9357200,2.464,2.464,,23058131.5,23058131.5,,0,3,SUR,1.93
28,TQBR,2024-02-08,МГКЛ,MGKL,1740,15806092.6,2.482,2.437,2.482,2.437,2.4565,2.437,6434600,2.4565,2.4565,,15806092.6,15806092.6,,0,3,SUR,-1.81
29,TQBR,2024-02-09,МГКЛ,MGKL,3325,28524136.1,2.45,2.358,2.45,2.38,2.396,2.38,11906000,2.396,2.396,,28524136.1,28524136.1,,0,3,SUR,-2.34
30,TQBR,2024-02-12,МГКЛ,MGKL,4044,31399545.95,2.385,2.251,2.394,2.33,2.3375,2.33,13434300,2.3375,2.3375,,31399545.95,31399545.95,,0,3,SUR,-2.1
31,TQBR,2024-02-13,МГКЛ,MGKL,2753,17953896.8,2.365,2.27,2.4,2.35,2.357,2.35,7616500,2.357,2.357,,17953896.8,17953896.8,,0,3,SUR,0.86
32,TQBR,2024-02-14,МГКЛ,MGKL,1685,12915418.8,2.39,2.3405,2.4,2.377,2.375,2.377,5437800,2.375,2.375,,12915418.8,12915418.8,,0,3,SUR,1.15
33,TQBR,2024-02-15,МГКЛ,MGKL,1484,9832715.85,2.3875,2.347,2.394,2.37,2.368,2.37,4152100,2.368,2.368,,9832715.85,9832715.85,,0,3,SUR,-0.29
34,TQBR,2024-02-16,МГКЛ,MGKL,1901,11941037.6,2.382,2.33,2.418,2.3375,2.362,2.3375,5055000,2.362,2.362,,11941037.6,11941037.6,,0,3,SUR,-1.37
35,TQBR,2024-02-19,МГКЛ,MGKL,8369,76945544.45,2.3775,2.35,2.4895,2.424,2.433,2.424,31624100,2.433,2.433,,76945544.45,76945544.45,,0,3,SUR,3.7
36,TQBR,2024-02-20,МГКЛ,MGKL,2274,17955912.25,2.44,2.3985,2.451,2.3985,2.419,2.3985,7422800,2.419,2.419,,17955912.25,17955912.25,,0,3,SUR,-1.05
37,TQBR,2024-02-21,МГКЛ,MGKL,3941,39877389.9,2.396,2.301,2.44,2.3495,2.3635,2.3495,16873100,2.3635,2.3635,,39877389.9,39877389.9,,0,3,SUR,-2.04
38,TQBR,2024-02-22,МГКЛ,MGKL,1760,13092989.15,2.379,2.3215,2.413,2.341,2.374,2.341,5515500,2.374,2.374,,13092989.15,13092989.15,,0,3,SUR,-0.36
39,TQBR,2024-02-26,МГКЛ,MGKL,1926,16397633.35,2.3585,2.3585,2.46,2.411,2.415,2.4125,6789300,2.415,2.415,,16397633.35,16397633.35,,0,3,SUR,3.05
40,TQBR,2024-02-27,МГКЛ,MGKL,1643,10585461.65,2.42,2.401,2.457,2.4065,2.4255,2.4085,4364400,2.4255,2.4255,,10585461.65,10585461.65,,0,3,SUR,-0.17
41,TQBR,2024-02-28,МГКЛ,MGKL,3993,45567591.1,2.4385,2.4,2.488,2.4725,2.45,2.4725,18597400,2.45,2.45,,45567591.1,45567591.1,,0,3,SUR,2.66
42,TQBR,2024-02-29,МГКЛ,MGKL,3741,44833778.4,2.4795,2.404,2.4995,2.4865,2.455,2.4865,18261500,2.455,2.455,,44833778.4,44833778.4,,0,3,SUR,0.57
43,TQBR,2024-03-01,МГКЛ,MGKL,2264,16176177.4,2.487,2.43,2.496,2.46,2.4575,2.444,6581800,2.4585,2.4585,,12350569.85,12350569.85,,0,3,SUR,-1.71
44,TQBR,2024-03-04,МГКЛ,MGKL,1606,10620307.75,2.472,2.4145,2.472,2.43,2.43,2.433,4370200,2.4305,2.4305,,9674448.25,9674448.25,,0,3,SUR,-0.45
45,TQBR,2024-03-05,МГКЛ,MGKL,1262,7895990.5,2.433,2.4025,2.4475,2.415,2.4175,2.415,3266300,2.4125,2.4125,,5899517.3,5899517.3,,0,3,SUR,-0.74
46,TQBR,2024-03-06,МГКЛ,MGKL,2866,28775614.85,2.43,2.4005,2.4725,2.456,2.4425,2.46,11780900,2.442,2.442,,26601940.5,26601940.5,,0,3,SUR,1.86
47,TQBR,2024-03-07,МГКЛ,MGKL,2229,22485215.4,2.498,2.4475,2.5055,2.4665,2.482,2.48,9058700,2.4825,2.4825,,21318378.7,21318378.7,,0,3,SUR,0.81
48,TQBR,2024-03-11,МГКЛ,MGKL,3695,42591516.45,2.495,2.473,2.55,2.531,2.5165,2.5495,16924400,2.513,2.513,,33387676.2,33387676.2,,0,3,SUR,2.8
49,TQBR,2024-03-12,МГКЛ,MGKL,2113,23662612.75,2.54,2.517,2.572,2.52,2.542,2.555,9309500,2.5425,2.5425,,20445744.75,20445744.75,,0,3,SUR,0.22
50,TQBR,2024-03-13,МГКЛ,MGKL,1356,9159219.95,2.5665,2.5035,2.5665,2.51,2.5245,2.5105,3627900,2.5265,2.5265,,7813351.35,7813351.35,,0,3,SUR,-1.74
51,TQBR,2024-03-14,МГКЛ,MGKL,2836,30517219.05,2.51,2.435,2.515,2.4565,2.4715,2.443,12348500,2.4715,2.4715,,29832858.25,29832858.25,,0,3,SUR,-2.69
52,TQBR,2024-03-15,МГКЛ,MGKL,2453,32160640.95,2.477,2.381,2.56,2.467,2.4575,2.473,13087900,2.457,2.457,,30986828.25,30986828.25,,0,3,SUR,1.23
53,TQBR,2024-03-18,МГКЛ,MGKL,10814,119725625.2,2.48,2.48,2.675,2.5135,2.5805,2.595,46397300,2.582,2.582,,113139810.65,113139810.65,,0,3,SUR,4.93
54,TQBR,2024-03-19,МГКЛ,MGKL,2810,19234575.25,2.595,2.4805,2.6,2.5095,2.526,2.5255,7614200,2.527,2.527,,17610081.0,17610081.0,,0,3,SUR,-2.68
55,TQBR,2024-03-20,МГКЛ,MGKL,1404,8230955.95,2.5255,2.4805,2.528,2.4925,2.5045,2.4945,3286400,2.507,2.507,,7237185.5,7237185.5,,0,3,SUR,-1.23
56,TQBR,2024-03-21,МГКЛ,MGKL,2124,15897851.7,2.4945,2.48,2.565,2.4945,2.5175,2.5255,6315200,2.517,2.517,,12973823.4,12973823.4,,0,3,SUR,1.24
