,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РсетВол ао,MRKV,77,325841.8,0.0198,0.01935,0.0201,0.01958,0.01955,0.01958,16670000,,0.01958,,0.0,500704.7,0.0,,3,SUR,-1.11
1,TQBR,2014-06-10,РсетВол ао,MRKV,72,224286.6,0.01935,0.01935,0.01975,0.01961,0.01957,0.01961,11460000,,0.01954,,0.0,523791.2,0.0,,3,SUR,0.15
2,TQBR,2014-06-11,РсетВол ао,MRKV,114,1140996.1,0.01959,0.01959,0.0202,0.01964,0.01986,0.01964,57440000,0.01986,0.01986,0.01986,1140996.1,1140996.1,1140996.1,,3,SUR,0.15
3,TQBR,2014-06-16,РсетВол ао,MRKV,132,805920.5,0.01976,0.0195,0.01995,0.01969,0.01973,0.01969,40840000,0.01973,0.01973,0.01973,805920.5,805920.5,805920.5,,3,SUR,0.25
4,TQBR,2014-06-17,РсетВол ао,MRKV,154,918843.9,0.01979,0.01899,0.01998,0.01932,0.01928,0.01932,47660000,0.01928,0.01928,0.01928,918843.9,918843.9,918843.9,,3,SUR,-1.88
5,TQBR,2014-06-18,РсетВол ао,MRKV,200,1139816.2,0.01929,0.0188,0.01982,0.019,0.01906,0.019,59790000,0.01906,0.01906,0.01906,1139816.2,1139816.2,1139816.2,,3,SUR,-1.66
6,TQBR,2014-06-19,РсетВол ао,MRKV,37,75990.0,0.01909,0.01886,0.0191,0.01893,0.019,0.01893,4000000,,0.01903,,0.0,504410.7,0.0,,3,SUR,-0.37
7,TQBR,2014-06-20,РсетВол ао,MRKV,177,349407.9,0.01883,0.0185,0.01909,0.01859,0.01876,0.0186,18630000,,0.01883,,0.0,534848.4,0.0,,3,SUR,-1.74
8,TQBR,2014-06-23,РсетВол ао,MRKV,118,429320.0,0.0186,0.01823,0.01878,0.01828,0.01846,0.01829,23260000,,0.01848,,0.0,500721.9,0.0,,3,SUR,-1.67
9,TQBR,2014-06-24,РсетВол ао,MRKV,82,400788.1,0.01829,0.01827,0.0186,0.01845,0.01838,0.01845,21800000,,0.01836,,0.0,581799.4,0.0,,3,SUR,0.87
10,TQBR,2014-06-25,РсетВол ао,MRKV,106,288334.5,0.01831,0.0182,0.01891,0.0183,0.01854,0.0183,15550000,,0.01845,,0.0,514632.3,0.0,,3,SUR,-0.81
11,TQBR,2014-06-26,РсетВол ао,MRKV,118,352662.8,0.01839,0.01819,0.01848,0.0182,0.01827,0.0182,19300000,,0.01833,,0.0,501446.8,0.0,,3,SUR,-0.55
12,TQBR,2014-06-27,РсетВол ао,MRKV,126,381085.4,0.01816,0.01814,0.01891,0.01857,0.01833,0.01857,20790000,,0.01831,,0.0,501066.5,0.0,,3,SUR,2.03
13,TQBR,2014-06-30,РсетВол ао,MRKV,78,255367.4,0.0185,0.0185,0.01879,0.01866,0.01867,0.01866,13680000,,0.01852,,0.0,504849.5,0.0,,3,SUR,0.48
14,TQBR,2014-07-01,РсетВол ао,MRKV,160,499901.1,0.01851,0.0182,0.01869,0.01849,0.01844,0.01849,27110000,,0.01844,,0.0,500647.5,0.0,,3,SUR,-0.91
15,TQBR,2014-07-02,РсетВол ао,MRKV,146,665447.1,0.0186,0.0184,0.0191,0.0189,0.01876,0.0189,35470000,0.01876,0.01876,0.01876,665447.1,665447.1,665447.1,,3,SUR,2.22
16,TQBR,2014-07-03,РсетВол ао,MRKV,196,1065665.4,0.01893,0.01881,0.02021,0.01991,0.01954,0.01991,54550000,0.01954,0.01954,0.01954,1065665.4,1065665.4,1065665.4,,3,SUR,5.34
17,TQBR,2014-07-04,РсетВол ао,MRKV,490,5678427.0,0.01986,0.01986,0.0228,0.02206,0.02175,0.022,261080000,0.02175,0.02175,0.02175,5678427.0,5678427.0,5678427.0,,3,SUR,10.5
18,TQBR,2014-07-07,РсетВол ао,MRKV,144,1235345.9,0.023,0.0215,0.023,0.02201,0.02225,0.02215,55510000,0.02225,0.02225,0.02225,1221775.9,1221775.9,1221775.9,,3,SUR,0.68
19,TQBR,2014-07-08,РсетВол ао,MRKV,146,1514568.3,0.02208,0.022,0.02277,0.02221,0.02226,0.02221,68030000,0.02226,0.02226,0.02226,1514568.3,1514568.3,1514568.3,,3,SUR,0.27
20,TQBR,2014-07-09,РсетВол ао,MRKV,91,583951.3,0.02201,0.02182,0.02238,0.02186,0.022,0.02209,26540000,0.022,0.022,0.022,583951.3,583951.3,583951.3,,3,SUR,-0.54
21,TQBR,2014-07-10,РсетВол ао,MRKV,120,637392.8,0.02186,0.0212,0.02229,0.02195,0.02178,0.02195,29270000,0.02178,0.02178,0.02178,637392.8,637392.8,637392.8,,3,SUR,-0.63
22,TQBR,2014-07-11,РсетВол ао,MRKV,127,907230.1,0.02173,0.021,0.0221,0.02156,0.02159,0.02187,42030000,0.02159,0.02159,0.02159,907230.1,907230.1,907230.1,,3,SUR,-0.36
23,TQBR,2014-07-14,РсетВол ао,MRKV,86,622014.7,0.02152,0.02132,0.022,0.02177,0.02186,0.02177,28450000,0.02186,0.02186,0.02186,622014.7,622014.7,622014.7,,3,SUR,-0.46
24,TQBR,2014-07-15,РсетВол ао,MRKV,92,1836733.7,0.02162,0.02135,0.022,0.02185,0.02186,0.02187,84010000,0.02186,0.02186,0.02186,1836733.7,1836733.7,1836733.7,,3,SUR,0.46
25,TQBR,2014-07-16,РсетВол ао,MRKV,87,894507.6,0.0219,0.0217,0.02243,0.02201,0.02212,0.02201,40440000,0.02212,0.02212,0.02212,894507.6,894507.6,894507.6,,3,SUR,0.64
26,TQBR,2014-07-17,РсетВол ао,MRKV,87,860717.7,0.02215,0.02105,0.02243,0.02198,0.02196,0.02198,39200000,0.02196,0.02196,0.02196,860717.7,860717.7,860717.7,,3,SUR,-0.14
27,TQBR,2014-07-18,РсетВол ао,MRKV,76,1827503.5,0.02167,0.0212,0.022,0.022,0.02161,0.02199,84570000,0.02161,0.02161,0.02161,1827503.5,1827503.5,1827503.5,,3,SUR,0.05
28,TQBR,2014-07-21,РсетВол ао,MRKV,53,170548.2,0.0221,0.0215,0.0224,0.02155,0.02189,0.02155,7790000,,0.02195,,0.0,500528.4,0.0,,3,SUR,-2.0
29,TQBR,2014-07-22,РсетВол ао,MRKV,75,694967.5,0.0217,0.0213,0.0219,0.0216,0.0216,0.0216,32170000,0.0216,0.0216,0.0216,694967.5,694967.5,694967.5,,3,SUR,0.23
30,TQBR,2014-07-23,РсетВол ао,MRKV,78,665687.5,0.0215,0.0212,0.0217,0.02144,0.02155,0.02144,30890000,0.02155,0.02155,0.02155,665687.5,665687.5,665687.5,,3,SUR,-0.74
31,TQBR,2014-07-24,РсетВол ао,MRKV,70,604301.6,0.02121,0.02082,0.0215,0.02122,0.02123,0.02122,28470000,0.02123,0.02123,0.02123,604301.6,604301.6,604301.6,,3,SUR,-1.03
32,TQBR,2014-07-25,РсетВол ао,MRKV,92,516286.5,0.02113,0.02056,0.02113,0.0207,0.02067,0.0207,24980000,0.02067,0.02067,0.02067,516286.5,516286.5,516286.5,,3,SUR,-2.45
33,TQBR,2014-07-28,РсетВол ао,MRKV,82,794984.1,0.0206,0.02031,0.0207,0.0205,0.02053,0.0205,38720000,0.02053,0.02053,0.02053,794984.1,794984.1,794984.1,,3,SUR,-0.97
34,TQBR,2014-07-29,РсетВол ао,MRKV,84,488504.3,0.0205,0.02024,0.0208,0.02079,0.02062,0.02079,23690000,,0.0206,,0.0,570504.3,0.0,,3,SUR,1.41
35,TQBR,2014-07-30,РсетВол ао,MRKV,72,1357234.8,0.02072,0.02069,0.021,0.02099,0.02094,0.02099,64800000,0.02094,0.02094,0.02094,1357234.8,1357234.8,1357234.8,,3,SUR,0.96
36,TQBR,2014-07-31,РсетВол ао,MRKV,122,1167588.0,0.0208,0.0208,0.0219,0.02111,0.02122,0.02111,55030000,0.02122,0.02122,0.02122,1167588.0,1167588.0,1167588.0,,3,SUR,0.57
37,TQBR,2014-08-01,РсетВол ао,MRKV,198,2329828.7,0.0211,0.0211,0.02397,0.0225,0.02195,0.0225,106130000,0.02195,0.02195,0.02195,2329828.7,2329828.7,2329828.7,,3,SUR,6.58
38,TQBR,2014-08-04,РсетВол ао,MRKV,100,361748.8,0.0226,0.02233,0.02327,0.0229,0.023,0.0229,15730000,,0.02282,,0.0,503060.4,0.0,,3,SUR,1.78
39,TQBR,2014-08-05,РсетВол ао,MRKV,48,163076.4,0.02286,0.022,0.02289,0.0226,0.02262,0.02269,7210000,,0.02288,,0.0,500940.0,0.0,,3,SUR,-0.92
40,TQBR,2014-08-06,РсетВол ао,MRKV,110,1714578.2,0.02242,0.0222,0.0227,0.02247,0.02229,0.02269,76920000,0.02229,0.02229,0.02229,1714578.2,1714578.2,1714578.2,,3,SUR,0.0
41,TQBR,2014-08-07,РсетВол ао,MRKV,28,427871.2,0.0224,0.0221,0.0225,0.0225,0.02235,0.0225,19140000,,0.02242,,0.0,524995.0,0.0,,3,SUR,-0.84
42,TQBR,2014-08-08,РсетВол ао,MRKV,111,1331513.3,0.02249,0.02106,0.02295,0.0226,0.02239,0.02269,59480000,0.02239,0.02239,0.02239,1331513.3,1331513.3,1331513.3,,3,SUR,0.84
43,TQBR,2014-08-11,РсетВол ао,MRKV,107,557130.3,0.0227,0.0227,0.024,0.0234,0.02345,0.02339,23760000,0.02345,0.02345,0.02345,557130.3,557130.3,557130.3,,3,SUR,3.09
44,TQBR,2014-08-12,РсетВол ао,MRKV,68,194750.1,0.02335,0.02281,0.0238,0.02301,0.02352,0.0231,8280000,,0.02366,,0.0,524872.1,0.0,,3,SUR,-1.24
45,TQBR,2014-08-13,РсетВол ао,MRKV,133,744160.3,0.02317,0.02299,0.0247,0.02421,0.02391,0.02421,31120000,0.02391,0.02391,0.02391,744160.3,744160.3,744160.3,,3,SUR,4.81
46,TQBR,2014-08-14,РсетВол ао,MRKV,55,319364.6,0.02369,0.0234,0.024,0.0236,0.02357,0.0236,13550000,,0.02388,,0.0,515118.2,0.0,,3,SUR,-2.52
47,TQBR,2014-08-15,РсетВол ао,MRKV,45,164500.7,0.02344,0.02344,0.0241,0.0241,0.02388,0.0241,6890000,,0.0237,,0.0,510254.2,0.0,,3,SUR,2.12
48,TQBR,2014-08-18,РсетВол ао,MRKV,72,244368.2,0.0239,0.0235,0.024,0.02398,0.02377,0.024,10280000,,0.02377,,0.0,538771.4,0.0,,3,SUR,-0.41
49,TQBR,2014-08-19,РсетВол ао,MRKV,84,302468.3,0.02389,0.0237,0.0245,0.02406,0.02412,0.02408,12540000,,0.02398,,0.0,518187.9,0.0,,3,SUR,0.33
50,TQBR,2014-08-20,РсетВол ао,MRKV,54,197357.7,0.0241,0.023,0.02448,0.02399,0.02352,0.02399,8390000,,0.02388,,0.0,500546.0,0.0,,3,SUR,-0.37
51,TQBR,2014-08-21,РсетВол ао,MRKV,117,1924359.7,0.02399,0.02399,0.0251,0.025,0.02457,0.025,78320000,0.02457,0.02457,0.02457,1924359.7,1924359.7,1924359.7,,3,SUR,4.21
52,TQBR,2014-08-22,РсетВол ао,MRKV,118,1116614.6,0.02481,0.02401,0.0256,0.02519,0.0251,0.02519,44480000,0.0251,0.0251,0.0251,1116614.6,1116614.6,1116614.6,,3,SUR,0.76
53,TQBR,2014-08-25,РсетВол ао,MRKV,181,1162861.3,0.0254,0.0254,0.0265,0.02604,0.02585,0.0259,44990000,0.02585,0.02585,0.02585,1162861.3,1162861.3,1162861.3,,3,SUR,2.82
54,TQBR,2014-08-26,РсетВол ао,MRKV,67,786550.0,0.02615,0.0256,0.02615,0.02576,0.02585,0.02596,30430000,0.02585,0.02585,0.02585,786550.0,786550.0,786550.0,,3,SUR,0.23
55,TQBR,2014-08-27,РсетВол ао,MRKV,40,1132495.5,0.0258,0.0253,0.026,0.0253,0.02598,0.0253,43590000,0.02598,0.02598,0.02598,1132495.5,1132495.5,1132495.5,,3,SUR,-2.54
56,TQBR,2014-08-28,РсетВол ао,MRKV,98,963471.6,0.02549,0.02436,0.02549,0.02448,0.02485,0.02449,38770000,0.02485,0.02485,0.02485,963471.6,963471.6,963471.6,,3,SUR,-3.2
57,TQBR,2014-08-29,РсетВол ао,MRKV,115,1602756.2,0.02459,0.02388,0.0247,0.02463,0.02417,0.0247,66310000,0.02417,0.02417,0.02417,1602756.2,1602756.2,1602756.2,,3,SUR,0.86
58,TQBR,2014-09-01,РсетВол ао,MRKV,108,218292.3,0.02467,0.0238,0.0248,0.0244,0.02407,0.0244,9070000,,0.02421,,0.0,502174.1,0.0,,3,SUR,-1.21
59,TQBR,2014-09-02,РсетВол ао,MRKV,47,437305.7,0.0244,0.0244,0.0251,0.025,0.02488,0.025,17580000,,0.02476,,0.0,504086.5,0.0,,3,SUR,2.46
60,TQBR,2014-09-03,РсетВол ао,MRKV,97,701228.3,0.025,0.0245,0.02574,0.02518,0.02517,0.02518,27860000,0.02517,0.02517,0.02517,701228.3,701228.3,701228.3,,3,SUR,0.72
61,TQBR,2014-09-04,РсетВол ао,MRKV,161,2560762.0,0.0249,0.0246,0.0263,0.02569,0.02522,0.0263,101520000,0.02522,0.02522,0.02522,2560762.0,2560762.0,2560762.0,,3,SUR,4.45
62,TQBR,2014-09-05,РсетВол ао,MRKV,292,2901697.1,0.0261,0.02575,0.0276,0.02603,0.02686,0.02604,108050000,0.02686,0.02686,0.02686,2901697.1,2901697.1,2901697.1,,3,SUR,-0.99
63,TQBR,2014-09-08,РсетВол ао,MRKV,165,1096731.9,0.02571,0.025,0.0261,0.0257,0.0256,0.0257,42840000,0.0256,0.0256,0.0256,1096731.9,1096731.9,1096731.9,,3,SUR,-1.31
64,TQBR,2014-09-09,РсетВол ао,MRKV,25,114020.7,0.0258,0.0253,0.0258,0.02568,0.02534,0.02568,4500000,,0.02545,,0.0,535702.6,0.0,,3,SUR,-0.08
65,TQBR,2014-09-10,РсетВол ао,MRKV,42,335766.8,0.0253,0.025,0.02546,0.02528,0.02525,0.02528,13300000,,0.02528,,0.0,579184.5,0.0,,3,SUR,-1.56
66,TQBR,2014-09-11,РсетВол ао,MRKV,75,354737.3,0.025,0.025,0.02674,0.02527,0.02509,0.02527,14140000,,0.02513,,0.0,567282.3,0.0,,3,SUR,-0.04
67,TQBR,2014-09-12,РсетВол ао,MRKV,123,1590366.9,0.02713,0.025,0.02713,0.02597,0.02575,0.02597,61770000,0.02575,0.02575,0.02575,1590095.6,1590095.6,1590095.6,,3,SUR,2.77
68,TQBR,2014-09-15,РсетВол ао,MRKV,45,513659.2,0.02597,0.0258,0.0267,0.02635,0.02601,0.0267,19750000,0.02601,0.02601,0.02601,513659.2,513659.2,513659.2,,3,SUR,2.81
69,TQBR,2014-09-16,РсетВол ао,MRKV,76,2659042.5,0.0267,0.02616,0.02687,0.0267,0.02657,0.0267,100090000,0.02657,0.02657,0.02657,2659042.5,2659042.5,2659042.5,,3,SUR,0.0
70,TQBR,2014-09-17,РсетВол ао,MRKV,50,422549.3,0.02659,0.0253,0.0266,0.02584,0.02588,0.02584,16330000,,0.02594,,0.0,529473.4,0.0,,3,SUR,-3.22
71,TQBR,2014-09-18,РсетВол ао,MRKV,42,984060.4,0.02578,0.0253,0.02579,0.02555,0.02546,0.02555,38650000,0.02546,0.02546,0.02546,984060.4,984060.4,984060.4,,3,SUR,-1.12
72,TQBR,2014-09-19,РсетВол ао,MRKV,57,252527.7,0.02586,0.0253,0.02595,0.02555,0.02538,0.02555,9950000,,0.02544,,0.0,501757.5,0.0,,3,SUR,0.0
73,TQBR,2014-09-22,РсетВол ао,MRKV,9,24896.9,0.02544,0.02544,0.02585,0.02583,0.02567,0.02583,970000,,0.02545,,0.0,526654.4,0.0,,3,SUR,1.1
74,TQBR,2014-09-23,РсетВол ао,MRKV,25,57154.7,0.02542,0.02541,0.02585,0.02585,0.02575,0.02585,2220000,,0.02548,,0.0,583809.1,0.0,,3,SUR,0.08
75,TQBR,2014-09-24,РсетВол ао,MRKV,62,544636.7,0.02585,0.02562,0.026,0.026,0.02571,0.026,21180000,0.02571,0.02571,0.02571,544636.7,544636.7,544636.7,,3,SUR,0.58
76,TQBR,2014-09-25,РсетВол ао,MRKV,136,5683871.5,0.02592,0.02592,0.02694,0.02624,0.02642,0.0262,215170000,0.02642,0.02642,0.02642,5683871.5,5683871.5,5683871.5,,3,SUR,0.77
77,TQBR,2014-09-26,РсетВол ао,MRKV,28,98193.2,0.0261,0.02466,0.0261,0.0259,0.02591,0.0259,3790000,,0.02654,,0.0,519864.6,0.0,,3,SUR,-1.15
78,TQBR,2014-09-29,РсетВол ао,MRKV,34,245469.0,0.02588,0.0256,0.0265,0.02561,0.02625,0.02561,9350000,,0.02633,,0.0,516920.7,0.0,,3,SUR,-1.12
79,TQBR,2014-09-30,РсетВол ао,MRKV,78,699071.6,0.02563,0.02311,0.02563,0.0245,0.02458,0.0245,28440000,0.02458,0.02458,0.02458,699071.6,699071.6,699071.6,,3,SUR,-4.33
80,TQBR,2014-10-01,РсетВол ао,MRKV,130,2487404.5,0.0245,0.0235,0.02485,0.0239,0.02365,0.0239,105150000,0.02365,0.02365,0.02365,2487404.5,2487404.5,2487404.5,,3,SUR,-2.45
81,TQBR,2014-10-02,РсетВол ао,MRKV,65,200002.0,0.02365,0.0232,0.024,0.0233,0.02385,0.0235,8390000,,0.02365,,0.0,663890.5,0.0,,3,SUR,-1.67
82,TQBR,2014-10-03,РсетВол ао,MRKV,25,26266.0,0.02325,0.0232,0.0239,0.02345,0.02345,0.02345,1120000,,0.02365,,0.0,690156.5,0.0,,3,SUR,-0.21
83,TQBR,2014-10-06,РсетВол ао,MRKV,89,622395.5,0.02325,0.02305,0.024,0.02345,0.0235,0.02345,26490000,0.0235,0.0235,0.0235,622395.5,622395.5,622395.5,,3,SUR,0.0
84,TQBR,2014-10-07,РсетВол ао,MRKV,7,38210.0,0.02335,0.02335,0.02365,0.02365,0.0236,0.02365,1620000,0.0235,0.0235,0.0235,660605.5,550077.0,660605.5,,3,SUR,0.85
85,TQBR,2014-10-08,РсетВол ао,MRKV,55,203397.5,0.02335,0.023,0.0235,0.02325,0.0231,0.0234,8810000,,0.0234,,0.0,753474.5,0.0,,3,SUR,-1.06
86,TQBR,2014-10-09,РсетВол ао,MRKV,31,134282.0,0.0235,0.02325,0.02375,0.0235,0.02345,0.02375,5730000,,0.0234,,0.0,887756.5,0.0,,3,SUR,1.5
87,TQBR,2014-10-10,РсетВол ао,MRKV,145,3114996.0,0.0234,0.0226,0.0234,0.02315,0.0229,0.02315,136150000,0.0229,0.0229,0.0229,3114996.0,3114996.0,3114996.0,,3,SUR,-2.53
