,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,РСетиСЗ ао,MRKZ,15,30118.2,0.02852,0.02851,0.03059,0.02998,0.02982,0.02957,1010000,,0.02947,,0.0,517712.5,0.0,,3,SUR,-0.94
1,TQBR,2014-06-10,РСетиСЗ ао,MRKZ,27,121970.8,0.03097,0.02884,0.03239,0.02921,0.02968,0.02948,4110000,,0.02964,,0.0,500379.9,0.0,,3,SUR,-0.3
2,TQBR,2014-06-11,РСетиСЗ ао,MRKZ,7,9502.0,0.0295,0.0295,0.03076,0.0296,0.02969,0.02951,320000,,0.02966,,0.0,505621.7,0.0,,3,SUR,0.1
3,TQBR,2014-06-16,РСетиСЗ ао,MRKZ,8,16340.7,0.02931,0.02855,0.02931,0.02862,0.02867,0.02862,570000,,0.02967,,0.0,500174.4,0.0,,3,SUR,-3.02
4,TQBR,2014-06-17,РСетиСЗ ао,MRKZ,39,529492.4,0.02901,0.028,0.02941,0.028,0.02803,0.028,18890000,0.02803,0.02803,0.02803,529492.4,529492.4,529492.4,,3,SUR,-2.17
5,TQBR,2014-06-18,РСетиСЗ ао,MRKZ,23,244294.1,0.0284,0.0278,0.02897,0.02797,0.02837,0.02798,8610000,,0.02816,,0.0,580294.1,0.0,,3,SUR,-0.07
6,TQBR,2014-06-19,РСетиСЗ ао,MRKZ,46,510170.1,0.0284,0.028,0.0285,0.02806,0.02825,0.02806,18060000,0.02825,0.02825,0.02825,509318.1,509318.1,509318.1,,3,SUR,0.29
7,TQBR,2014-06-20,РСетиСЗ ао,MRKZ,11,21141.9,0.0285,0.02816,0.0286,0.02827,0.02819,0.02827,750000,,0.02824,,0.0,521659.1,0.0,,3,SUR,0.75
8,TQBR,2014-06-23,РСетиСЗ ао,MRKZ,29,61434.9,0.02933,0.02629,0.02933,0.0275,0.02743,0.0275,2240000,,0.02812,,0.0,509212.8,0.0,,3,SUR,-2.72
9,TQBR,2014-06-24,РСетиСЗ ао,MRKZ,11,10562.4,0.02777,0.02739,0.02828,0.02742,0.0278,0.02742,380000,,0.02811,,0.0,507880.8,0.0,,3,SUR,-0.29
10,TQBR,2014-06-25,РСетиСЗ ао,MRKZ,81,404101.0,0.0327,0.0271,0.0327,0.02725,0.0276,0.02725,14640000,,0.02763,,0.0,521183.6,0.0,,3,SUR,-0.62
