,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2013-07-08,МТС-ао,MTSS,1,26513.0,265.13,265.13,265.13,266.62,265.13,265.13,100,263.45,263.45,263.45,206597534.9,206597534.9,206597534.9,,3,SUR,
1,TQBR,2013-07-09,МТС-ао,MTSS,0,0.0,,,,263.23,,,0,265.3,265.3,265.3,219707587.9,219707587.9,219707587.9,,3,SUR,
2,TQBR,2013-07-10,МТС-ао,MTSS,8,170410.0,262.5,261.5,262.5,261.87,262.17,261.5,650,261.94,261.94,261.94,160957188.0,160957188.0,160957188.0,,3,SUR,-1.37
3,TQBR,2013-07-11,МТС-ао,MTSS,0,0.0,,,,266.8,,,0,265.06,265.06,265.06,445840123.6,445840123.6,445840123.6,,3,SUR,
4,TQBR,2013-07-12,МТС-ао,MTSS,6,121300.0,269.0,269.0,270.0,272.29,269.56,270.0,450,270.85,270.85,270.85,525010858.8,525010858.8,525010858.8,,3,SUR,3.25
5,TQBR,2013-07-15,МТС-ао,MTSS,3,108920.0,273.6,271.0,273.6,270.36,272.3,271.0,400,272.35,272.35,272.35,291976990.0,291976990.0,291976990.0,,3,SUR,0.37
6,TQBR,2013-07-16,МТС-ао,MTSS,0,0.0,,,,272.49,,,0,272.16,272.16,272.16,416818976.6,416818976.6,416818976.6,,3,SUR,
7,TQBR,2013-07-17,МТС-ао,MTSS,6,121986.0,267.0,267.0,275.0,273.71,271.08,273.6,450,272.99,272.99,272.99,428966938.4,428966938.4,428966938.4,,3,SUR,0.96
8,TQBR,2013-07-18,МТС-ао,MTSS,0,0.0,,,,269.79,,,0,272.23,272.23,272.23,268052094.5,268052094.5,268052094.5,,3,SUR,
9,TQBR,2013-07-19,МТС-ао,MTSS,5,121903.0,270.32,270.03,271.53,269.86,270.9,270.03,450,270.54,270.54,270.54,277104496.2,277104496.2,277104496.2,,3,SUR,-1.3
10,TQBR,2013-07-22,МТС-ао,MTSS,6,190468.0,268.04,268.04,274.99,273.81,272.1,274.44,700,272.31,272.31,272.31,323457477.9,323457477.9,323457477.9,,3,SUR,1.63
11,TQBR,2013-07-23,МТС-ао,MTSS,0,0.0,,,,276.44,,,0,276.12,276.12,276.12,255567982.4,255567982.4,255567982.4,,3,SUR,
12,TQBR,2013-07-24,МТС-ао,MTSS,0,0.0,,,,278.64,,,0,276.54,276.54,276.54,275156466.0,275156466.0,275156466.0,,3,SUR,
13,TQBR,2013-07-25,МТС-ао,MTSS,15,1551500.0,282.0,282.0,283.0,280.59,282.09,283.0,5500,281.4,281.4,281.4,443670854.8,443670854.8,443670854.8,,3,SUR,3.12
14,TQBR,2013-07-26,МТС-ао,MTSS,0,0.0,,,,282.21,,,0,282.17,282.17,282.17,324574727.5,324574727.5,324574727.5,,3,SUR,
15,TQBR,2013-07-29,МТС-ао,MTSS,2,144270.1,283.0,277.01,283.0,276.87,282.88,277.01,510,281.24,281.24,281.24,488799832.3,488799832.3,488799832.3,,3,SUR,-2.12
16,TQBR,2013-07-30,МТС-ао,MTSS,37,4485487.9,278.0,278.0,279.79,278.32,278.26,278.6,16120,280.32,280.32,280.32,390951032.0,390951032.0,390951032.0,,3,SUR,0.57
17,TQBR,2013-07-31,МТС-ао,MTSS,49,1639114.0,276.0,272.1,279.0,273.84,276.41,275.0,5930,275.5,275.5,275.5,629486882.2,629486882.2,629486882.2,,3,SUR,-1.29
18,TQBR,2013-08-01,МТС-ао,MTSS,10,381273.0,279.99,279.99,282.0,282.36,280.35,282.0,1360,281.03,281.03,281.03,451416466.4,451416466.4,451416466.4,,3,SUR,2.55
19,TQBR,2013-08-02,МТС-ао,MTSS,13,1129914.9,281.9,281.7,286.49,282.86,281.77,286.49,4010,282.54,282.54,282.54,279116469.3,279116469.3,279116469.3,,3,SUR,1.59
20,TQBR,2013-08-05,МТС-ао,MTSS,0,0.0,,,,287.29,,,0,285.91,285.91,285.91,300760922.0,300760922.0,300760922.0,,3,SUR,
21,TQBR,2013-08-06,МТС-ао,MTSS,1,2821.2,282.12,282.12,282.12,282.74,282.12,282.12,10,286.65,286.65,286.65,337742963.8,337742963.8,337742963.8,,3,SUR,-1.53
22,TQBR,2013-08-07,МТС-ао,MTSS,0,0.0,,,,285.69,,,0,285.36,285.36,285.36,296308457.6,296308457.6,296308457.6,,3,SUR,
23,TQBR,2013-08-08,МТС-ао,MTSS,2,11404.0,285.0,285.0,285.2,285.29,285.1,285.2,40,286.04,286.04,286.04,255908355.3,255908355.3,255908355.3,,3,SUR,1.09
24,TQBR,2013-08-09,МТС-ао,MTSS,11,1161600.0,290.4,290.4,290.4,289.18,290.4,290.4,4000,287.0,287.0,287.0,187493886.7,187493886.7,187493886.7,,3,SUR,1.82
25,TQBR,2013-08-12,МТС-ао,MTSS,0,0.0,,,,292.51,,,0,290.49,290.49,290.49,133774933.1,133774933.1,133774933.1,,3,SUR,
26,TQBR,2013-08-13,МТС-ао,MTSS,0,0.0,,,,294.52,,,0,294.29,294.29,294.29,189016512.2,189016512.2,189016512.2,,3,SUR,
27,TQBR,2013-08-14,МТС-ао,MTSS,2,118181.1,294.0,294.0,295.49,299.6,295.45,295.49,400,297.95,297.95,297.95,321129865.3,321129865.3,321129865.3,,3,SUR,1.75
28,TQBR,2013-08-15,МТС-ао,MTSS,0,0.0,,,,289.89,,,0,292.48,292.48,292.48,316390771.1,316390771.1,316390771.1,,3,SUR,
29,TQBR,2013-08-16,МТС-ао,MTSS,5,250711.4,284.27,284.26,285.7,286.02,284.9,285.7,880,286.81,286.81,286.81,380171837.5,380171837.5,380171837.5,,3,SUR,-3.31
30,TQBR,2013-08-19,МТС-ао,MTSS,7,391761.8,282.6,282.6,322.0,287.89,292.36,289.5,1340,288.07,288.07,288.07,297144060.1,297144060.1,297144060.1,,3,SUR,1.33
31,TQBR,2013-08-20,МТС-ао,MTSS,0,0.0,,,,295.02,,,0,291.11,291.11,291.11,542617693.1,542617693.1,542617693.1,,3,SUR,
32,TQBR,2013-08-21,МТС-ао,MTSS,3,160590.0,297.0,297.0,298.4,300.38,297.39,298.4,540,298.43,298.43,298.43,599776500.7,599776500.7,599776500.7,,3,SUR,3.07
33,TQBR,2013-08-22,МТС-ао,MTSS,51,808591.7,303.3,295.65,338.0,298.56,314.63,303.27,2570,298.96,298.96,298.96,407797965.74,407797965.74,407797965.74,,3,SUR,1.63
34,TQBR,2013-08-23,МТС-ао,MTSS,3,59289.0,297.75,296.01,297.75,296.99,296.45,296.01,200,297.27,297.27,297.27,319140688.91,319140688.91,319140688.91,,3,SUR,-2.39
35,TQBR,2013-08-26,МТС-ао,MTSS,4,90132.9,303.32,298.0,303.33,300.0,300.44,300.0,300,299.39,299.39,299.39,232852568.29,232852568.29,232852568.29,,3,SUR,1.35
36,TQBR,2013-08-27,МТС-ао,MTSS,17,876516.4,299.0,293.51,299.57,293.1,298.13,293.51,2940,297.34,297.34,297.34,466048481.5,466048481.5,466048481.5,,3,SUR,-2.16
37,TQBR,2013-08-28,МТС-ао,MTSS,15,309377.6,288.12,285.0,290.3,287.94,289.14,289.99,1070,288.64,288.64,288.64,557316583.7,557316583.7,557316583.7,,3,SUR,-1.2
38,TQBR,2013-08-29,МТС-ао,MTSS,17,1036239.5,287.0,285.02,294.98,287.98,287.05,286.01,3610,287.76,287.76,287.76,209698482.5,209698482.5,209698482.5,,3,SUR,-1.37
39,TQBR,2013-08-30,МТС-ао,MTSS,2,31699.0,289.9,288.0,289.9,287.81,288.17,288.0,110,287.92,287.92,287.92,223428377.16,223428377.16,223428377.16,,3,SUR,0.7
40,TQBR,2013-09-02,МТС-ао,MTSS,3948,245963385.2,290.4,282.7,293.89,283.0,286.36,283.01,858920,286.36,286.36,286.36,245847761.83,245847761.83,245847761.83,,3,SUR,-1.73
41,TQBR,2013-09-03,МТС-ао,MTSS,6184,360414601.3,284.02,283.2,288.35,286.05,285.55,286.0,1262180,285.55,285.55,285.55,360403240.5,360403240.5,360403240.5,,3,SUR,1.06
42,TQBR,2013-09-04,МТС-ао,MTSS,3958,327651076.8,285.0,282.81,289.0,282.91,286.25,282.96,1144650,286.25,286.25,286.25,327585546.8,327585546.8,327585546.8,,3,SUR,-1.06
43,TQBR,2013-09-05,МТС-ао,MTSS,8241,756947914.5,283.38,282.61,296.51,294.8,289.92,295.0,2610880,289.92,289.92,289.92,756696278.82,756696278.82,756696278.82,,3,SUR,4.26
44,TQBR,2013-09-06,МТС-ао,MTSS,8654,584387571.5,295.03,293.97,300.89,297.1,297.98,297.1,1961150,297.98,297.98,297.98,584355118.2,584355118.2,584355118.2,,3,SUR,0.71
45,TQBR,2013-09-09,МТС-ао,MTSS,5627,362378783.3,297.55,297.01,300.78,300.47,299.21,300.55,1211130,299.21,299.21,299.21,362346052.8,362346052.8,362346052.8,,3,SUR,1.16
46,TQBR,2013-09-10,МТС-ао,MTSS,6819,662014192.9,301.0,297.77,301.39,299.04,299.59,299.04,2209760,299.59,299.59,299.59,661370052.9,661370052.9,661370052.9,,3,SUR,-0.5
47,TQBR,2013-09-11,МТС-ао,MTSS,3905,308258318.7,299.75,296.31,301.0,298.7,298.35,298.53,1033210,298.35,298.35,298.35,308198368.7,308198368.7,308198368.7,,3,SUR,-0.17
48,TQBR,2013-09-12,МТС-ао,MTSS,5304,348157626.9,297.71,295.0,300.31,298.11,298.13,298.4,1167800,298.13,298.13,298.13,348089452.54,348089452.54,348089452.54,,3,SUR,-0.04
49,TQBR,2013-09-13,МТС-ао,MTSS,4885,378715076.6,298.52,295.11,303.35,299.5,299.64,299.98,1263890,299.64,299.64,299.64,378610594.6,378610594.6,378610594.6,,3,SUR,0.53
50,TQBR,2013-09-16,МТС-ао,MTSS,11019,1085977156.6,297.11,297.11,311.81,308.1,307.84,308.2,3527720,307.85,307.85,307.85,1084819189.6,1084819189.6,1084819189.6,,3,SUR,2.74
51,TQBR,2013-09-17,МТС-ао,MTSS,3601,330793776.9,308.54,305.55,308.54,308.2,306.74,307.95,1078420,306.75,306.75,306.75,332998094.3,332998094.3,332998094.3,,3,SUR,-0.08
52,TQBR,2013-09-18,МТС-ао,MTSS,5495,520312468.7,305.95,305.71,309.77,308.7,307.95,308.36,1689590,307.95,307.95,307.95,520294111.7,520294111.7,520294111.7,,3,SUR,0.13
53,TQBR,2013-09-19,МТС-ао,MTSS,11529,956654283.7,310.47,310.14,314.88,312.5,312.67,313.5,3059660,312.67,312.67,312.67,956344481.56,956344481.56,956344481.56,,3,SUR,1.67
54,TQBR,2013-09-20,МТС-ао,MTSS,4373,439842593.5,313.11,310.1,313.32,311.79,311.1,311.8,1413830,311.1,311.1,311.1,439834132.66,439834132.66,439834132.66,,3,SUR,-0.54
55,TQBR,2013-09-23,МТС-ао,MTSS,4675,508850438.9,311.3,306.0,311.55,307.15,308.02,307.13,1652000,308.02,308.02,308.02,508548477.9,508548477.9,508548477.9,,3,SUR,-1.5
56,TQBR,2013-09-24,МТС-ао,MTSS,5642,476400086.0,305.6,305.14,311.0,311.0,308.95,311.0,1541980,308.96,308.96,308.96,476076150.0,476076150.0,476076150.0,,3,SUR,1.26
57,TQBR,2013-09-25,МТС-ао,MTSS,7574,619157584.3,310.85,308.9,316.46,316.3,312.23,316.32,1983000,312.23,312.23,312.23,618765913.3,618765913.3,618765913.3,,3,SUR,1.71
58,TQBR,2013-09-26,МТС-ао,MTSS,7333,652861103.9,317.9,314.62,321.3,320.01,317.94,319.5,2053420,317.94,317.94,317.94,652832492.9,652832492.9,652832492.9,,3,SUR,1.01
59,TQBR,2013-09-27,МТС-ао,MTSS,5885,451907791.5,319.94,317.01,321.99,321.3,318.86,321.05,1417270,318.86,318.86,318.86,451901394.7,451901394.7,451901394.7,,3,SUR,0.49
60,TQBR,2013-09-30,МТС-ао,MTSS,7930,377664462.2,319.45,319.0,323.49,323.0,321.53,323.0,1174590,321.53,321.53,321.53,377619739.2,377619739.2,377619739.2,,3,SUR,0.61
61,TQBR,2013-10-01,МТС-ао,MTSS,6463,530866063.9,324.62,322.0,328.48,328.0,325.79,327.96,1629450,325.79,325.79,325.79,530771924.1,530771924.1,530771924.1,,3,SUR,1.54
62,TQBR,2013-10-02,МТС-ао,MTSS,8505,675600479.8,328.0,323.51,329.21,324.3,325.61,324.0,2074890,325.6,325.6,325.6,674718159.8,674718159.8,674718159.8,,3,SUR,-1.21
63,TQBR,2013-10-03,МТС-ао,MTSS,4708,403762156.6,325.5,321.01,325.69,324.2,323.84,324.24,1246790,323.84,323.84,323.84,403664506.6,403664506.6,403664506.6,,3,SUR,0.07
64,TQBR,2013-10-04,МТС-ао,MTSS,4520,336000095.7,324.04,323.34,328.75,327.27,326.56,327.92,1028910,326.56,326.56,326.56,335967691.7,335967691.7,335967691.7,,3,SUR,1.13
65,TQBR,2013-10-07,МТС-ао,MTSS,5174,423203376.3,327.91,326.6,330.91,330.06,328.5,330.06,1288290,328.5,328.5,328.5,423026304.9,423026304.9,423026304.9,,3,SUR,0.65
66,TQBR,2013-10-08,МТС-ао,MTSS,6564,519149482.7,330.03,328.0,332.5,329.8,330.11,329.97,1572640,330.11,330.11,330.11,519043873.1,519043873.1,519043873.1,,3,SUR,-0.03
67,TQBR,2013-10-09,МТС-ао,MTSS,6344,565228597.5,328.84,327.5,330.5,328.89,328.79,328.9,1719110,328.79,328.79,328.79,564801105.5,564801105.5,564801105.5,,3,SUR,-0.32
68,TQBR,2013-10-10,МТС-ао,MTSS,10066,388952553.3,328.74,328.74,334.44,334.33,332.87,333.73,1168470,332.87,332.87,332.87,388919679.3,388919679.3,388919679.3,,3,SUR,1.47
69,TQBR,2013-10-11,МТС-ао,MTSS,4621,317683463.5,333.77,331.0,336.51,336.0,333.17,336.21,953520,333.17,333.17,333.17,317306303.4,317306303.4,317306303.4,,3,SUR,0.74
70,TQBR,2013-10-14,МТС-ао,MTSS,4056,476751761.3,336.21,334.06,338.0,336.8,335.97,336.8,1419020,335.97,335.97,335.97,476687879.17,476687879.17,476687879.17,,3,SUR,0.18
71,TQBR,2013-10-15,МТС-ао,MTSS,9553,717519620.3,337.5,337.5,346.0,344.67,342.64,344.8,2094080,342.65,342.65,342.65,717074120.3,717074120.3,717074120.3,,3,SUR,2.38
72,TQBR,2013-10-16,МТС-ао,MTSS,9289,561753511.5,345.0,341.51,353.77,351.49,349.41,351.5,1607710,349.41,349.41,349.41,561715561.5,561715561.5,561715561.5,,3,SUR,1.94
73,TQBR,2013-10-17,МТС-ао,MTSS,7078,565658503.8,353.47,339.0,353.5,343.0,344.55,343.0,1641740,344.54,344.54,344.54,565322707.3,565322707.3,565322707.3,,3,SUR,-2.42
