,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,НМТП ао,NMTP,750,2234452.3,2.21,2.2001,2.26,2.2596,2.2457,2.26,995000,2.2457,2.2457,2.2457,2234452.3,2234452.3,2234452.3,,3,SUR,1.56
1,TQBR,2014-06-10,НМТП ао,NMTP,132,598071.9,2.35,2.2001,2.35,2.216,2.2233,2.216,269000,2.2209,2.2209,2.2209,586321.9,586321.9,586321.9,,3,SUR,-1.95
2,TQBR,2014-06-11,НМТП ао,NMTP,100,1109973.7,2.2084,2.2084,2.2447,2.2301,2.2333,2.2301,497000,2.2333,2.2333,2.2333,1109973.7,1109973.7,1109973.7,,3,SUR,0.64
3,TQBR,2014-06-16,НМТП ао,NMTP,817,6334090.0,2.2275,2.2001,2.43,2.3299,2.3442,2.3299,2702000,2.3442,2.3442,2.3442,6334090.0,6334090.0,6334090.0,,3,SUR,4.48
4,TQBR,2014-06-17,НМТП ао,NMTP,470,4087074.8,2.3,2.2801,2.4296,2.42,2.3721,2.42,1723000,2.3721,2.3721,2.3721,4087074.8,4087074.8,4087074.8,,3,SUR,3.87
5,TQBR,2014-06-18,НМТП ао,NMTP,472,2137231.1,2.4,2.3404,2.4099,2.3601,2.3721,2.36,901000,2.372,2.372,2.372,2134831.1,2134831.1,2134831.1,,3,SUR,-2.48
6,TQBR,2014-06-19,НМТП ао,NMTP,143,1278556.2,2.3816,2.3055,2.3816,2.31,2.3289,2.31,549000,2.3286,2.3286,2.3286,1271411.4,1271411.4,1271411.4,,3,SUR,-2.12
7,TQBR,2014-06-20,НМТП ао,NMTP,404,5446262.7,2.319,2.15,2.33,2.15,2.2816,2.15,2387000,2.2816,2.2816,2.2816,5446262.7,5446262.7,5446262.7,,3,SUR,-6.93
8,TQBR,2014-06-23,НМТП ао,NMTP,339,2882730.2,2.15,2.1499,2.24,2.2002,2.1972,2.2002,1312000,2.1991,2.1991,2.1991,2775230.2,2775230.2,2775230.2,,3,SUR,2.33
9,TQBR,2014-06-24,НМТП ао,NMTP,116,618844.7,2.2103,2.2001,2.2497,2.2222,2.2181,2.2222,279000,2.2181,2.2181,2.2181,618844.7,618844.7,618844.7,,3,SUR,1.0
10,TQBR,2014-06-25,НМТП ао,NMTP,39,507664.3,2.2123,2.1857,2.2193,2.1857,2.2072,2.1857,230000,2.2072,2.2072,2.2072,507664.3,507664.3,507664.3,,3,SUR,-1.64
11,TQBR,2014-06-26,НМТП ао,NMTP,52,611656.4,2.1979,2.1979,2.21,2.205,2.2081,2.205,277000,2.2081,2.2081,2.2081,611656.4,611656.4,611656.4,,3,SUR,0.88
12,TQBR,2014-06-27,НМТП ао,NMTP,38,951631.8,2.1998,2.1909,2.2203,2.1999,2.2029,2.1909,432000,2.2029,2.2029,2.2029,951631.8,951631.8,951631.8,,3,SUR,-0.64
13,TQBR,2014-06-30,НМТП ао,NMTP,28,223956.4,2.1909,2.1885,2.2078,2.2078,2.1957,2.2078,102000,,2.2033,,0.0,517784.4,0.0,,3,SUR,0.77
14,TQBR,2014-07-01,НМТП ао,NMTP,1,2195.2,2.1952,2.1952,2.1952,2.1952,2.1952,2.1952,1000,,2.2033,,0.0,519979.6,0.0,,3,SUR,-0.57
15,TQBR,2014-07-02,НМТП ао,NMTP,112,492592.5,2.1951,2.1907,2.2395,2.236,2.2189,2.2395,222000,,2.2185,,0.0,505819.5,0.0,,3,SUR,2.02
16,TQBR,2014-07-03,НМТП ао,NMTP,51,392248.4,2.2349,2.2349,2.268,2.2552,2.2543,2.2551,174000,,2.2466,,0.0,536927.4,0.0,,3,SUR,0.7
