,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-10-17,ОзонФарм,OZPH,49048,1008247925.1,34.98,32.85,35.07,33.0,34.44,33.0,29570510,34.1,34.1,,1008247925.1,1008247925.1,,0,3,SUR,
1,TQBR,2024-10-18,ОзонФарм,OZPH,25157,531683012.4,33.0,32.77,34.9,33.6,34.08,33.6,15591410,34.1,34.1,,531683012.4,531683012.4,,0,3,SUR,1.82
2,TQBR,2024-10-21,ОзонФарм,OZPH,14614,147079641.4,34.0,33.1,34.15,33.99,33.52,33.99,4386360,33.53,33.53,,147079641.4,147079641.4,,0,3,SUR,1.16
3,TQBR,2024-10-22,ОзонФарм,OZPH,10730,88452527.1,33.99,33.5,34.0,33.81,33.76,33.81,2620110,33.76,33.76,,88452527.1,88452527.1,,0,3,SUR,-0.53
4,TQBR,2024-10-23,ОзонФарм,OZPH,6113,98817471.7,33.81,32.93,34.18,33.17,33.31,33.17,2963280,33.35,33.35,,98817471.7,98817471.7,,0,3,SUR,-1.89
5,TQBR,2024-10-24,ОзонФарм,OZPH,5929,49634494.9,33.17,32.95,33.35,33.07,33.06,33.07,1501020,33.07,33.07,,49634494.9,49634494.9,,0,3,SUR,-0.3
6,TQBR,2024-10-25,ОзонФарм,OZPH,11656,160323614.6,33.24,30.69,33.33,31.11,31.98,31.11,5018120,31.95,31.95,,160323614.6,160323614.6,,0,3,SUR,-5.93
7,TQBR,2024-10-28,ОзонФарм,OZPH,6936,66210998.9,30.8,29.5,31.0,29.63,30.42,29.63,2177490,30.41,30.41,,66210998.9,66210998.9,,0,3,SUR,-4.76
8,TQBR,2024-10-29,ОзонФарм,OZPH,5841,56292520.6,29.63,28.53,30.24,30.22,29.47,30.22,1909330,29.48,29.48,,56292520.6,56292520.6,,0,3,SUR,1.99
9,TQBR,2024-10-30,ОзонФарм,OZPH,3791,23490689.8,30.4,29.64,31.0,30.25,30.33,30.25,773870,30.35,30.35,,23490689.8,23490689.8,,0,3,SUR,0.1
10,TQBR,2024-10-31,ОзонФарм,OZPH,4870,46450253.3,30.2,29.41,30.24,29.7,29.69,29.7,1564880,29.68,29.68,,46450253.3,46450253.3,,0,3,SUR,-1.82
11,TQBR,2024-11-01,ОзонФарм,OZPH,2782,25279621.3,30.0,29.3,30.0,29.62,29.65,29.62,852540,29.65,29.65,,25279621.3,25279621.3,,0,3,SUR,-0.27
12,TQBR,2024-11-02,ОзонФарм,OZPH,2283,30285968.7,29.62,29.3,29.76,29.5,29.52,29.5,1026030,29.52,29.52,,30285968.7,30285968.7,,0,3,SUR,-0.41
13,TQBR,2024-11-05,ОзонФарм,OZPH,2110,19512857.4,29.57,29.26,29.59,29.5,29.4,29.5,663620,29.4,29.4,,19512857.4,19512857.4,,0,3,SUR,0.0
14,TQBR,2024-11-06,ОзонФарм,OZPH,4053,41530363.0,30.0,28.92,30.0,29.38,29.55,29.38,1403830,29.58,29.58,,41530363.0,41530363.0,,0,3,SUR,-0.41
15,TQBR,2024-11-07,ОзонФарм,OZPH,2841,39715829.0,29.38,28.77,30.0,29.23,29.27,29.23,1357320,29.26,29.26,,39715829.0,39715829.0,,0,3,SUR,-0.51
16,TQBR,2024-11-08,ОзонФарм,OZPH,3684,36091357.6,29.6,28.52,30.36,30.33,29.6,30.33,1220360,29.57,29.57,,36091357.6,36091357.6,,0,3,SUR,3.76
17,TQBR,2024-11-11,ОзонФарм,OZPH,4527,50466268.5,30.96,30.5,31.5,31.08,30.96,31.08,1630060,30.96,30.96,,50466268.5,50466268.5,,0,3,SUR,2.47
18,TQBR,2024-11-12,ОзонФарм,OZPH,1784,16634425.8,31.36,30.28,31.36,30.48,30.71,30.48,541470,30.72,30.72,,16634425.8,16634425.8,,0,3,SUR,-1.93
19,TQBR,2024-11-13,ОзонФарм,OZPH,1503,15755690.7,30.5,30.2,30.84,30.27,30.55,30.27,515790,30.55,30.55,,15755690.7,15755690.7,,0,3,SUR,-0.69
20,TQBR,2024-11-14,ОзонФарм,OZPH,1775,18020013.8,30.19,29.64,30.45,29.7,29.98,29.7,600830,29.99,29.99,,18020013.8,18020013.8,,0,3,SUR,-1.88
