,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ГК РБК ао,RBCM,96,2085239.1,4.489,4.42,4.545,4.427,4.463,4.427,467200,4.463,4.463,4.463,2085239.1,2085239.1,2085239.1,,3,SUR,-0.78
1,TQBR,2014-06-10,ГК РБК ао,RBCM,97,447796.2,4.428,4.39,4.428,4.4,4.403,4.4,101700,,4.407,,0.0,512935.2,0.0,,3,SUR,-0.61
2,TQBR,2014-06-11,ГК РБК ао,RBCM,277,979266.1,4.442,4.35,4.539,4.386,4.405,4.386,222300,4.405,4.405,4.405,978377.7,978377.7,978377.7,,3,SUR,-0.32
3,TQBR,2014-06-16,ГК РБК ао,RBCM,757,4117480.5,4.376,4.282,4.75,4.503,4.557,4.52,903500,4.557,4.557,4.557,4117480.5,4117480.5,4117480.5,,3,SUR,3.06
4,TQBR,2014-06-17,ГК РБК ао,RBCM,760,4765830.2,4.301,4.301,4.877,4.74,4.742,4.74,1005000,4.742,4.742,4.742,4764539.9,4764539.9,4764539.9,,3,SUR,4.87
5,TQBR,2014-06-18,ГК РБК ао,RBCM,422,1463852.6,4.788,4.734,4.847,4.8,4.803,4.8,304800,4.803,4.803,4.803,1463852.6,1463852.6,1463852.6,,3,SUR,1.27
6,TQBR,2014-06-19,ГК РБК ао,RBCM,211,665380.8,4.839,4.612,4.85,4.685,4.77,4.685,139500,4.77,4.77,4.77,665380.8,665380.8,665380.8,,3,SUR,-2.4
7,TQBR,2014-06-20,ГК РБК ао,RBCM,391,2135032.8,4.699,4.499,4.7,4.568,4.577,4.568,466500,4.577,4.577,4.577,2135032.8,2135032.8,2135032.8,,3,SUR,-2.5
8,TQBR,2014-06-23,ГК РБК ао,RBCM,343,1897010.1,4.61,4.61,5.21,4.656,4.838,4.656,392100,4.838,4.838,4.838,1897010.1,1897010.1,1897010.1,,3,SUR,1.93
9,TQBR,2014-06-24,ГК РБК ао,RBCM,364,1369020.8,4.654,4.615,4.755,4.691,4.677,4.7,292700,4.677,4.677,4.677,1369020.8,1369020.8,1369020.8,,3,SUR,0.95
10,TQBR,2014-06-25,ГК РБК ао,RBCM,89,235078.8,4.673,4.641,4.694,4.655,4.664,4.655,50400,,4.666,,0.0,509996.2,0.0,,3,SUR,-0.96
11,TQBR,2014-06-26,ГК РБК ао,RBCM,73,224119.5,4.672,4.622,4.693,4.64,4.659,4.64,48100,,4.665,,0.0,500081.8,0.0,,3,SUR,-0.32
12,TQBR,2014-06-27,ГК РБК ао,RBCM,586,3820496.7,4.623,4.38,4.623,4.51,4.446,4.51,859300,4.446,4.446,4.446,3820496.7,3820496.7,3820496.7,,3,SUR,-2.8
