,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2015-03-30,РУСАЛ ао,RUAL,86,20078686.0,37.0,37.0,37.34,37.34,37.24,37.34,539200,37.24,37.24,37.24,20078686.0,20078686.0,20078686.0,,3,SUR,
1,TQBR,2015-03-31,РУСАЛ ао,RUAL,46,17711414.0,36.85,36.35,37.0,36.82,36.595,36.79,484000,36.595,36.595,36.595,17711414.0,17711414.0,17711414.0,,3,SUR,-1.47
2,TQBR,2015-04-01,РУСАЛ ао,RUAL,81,11496426.5,36.0,35.805,36.45,36.245,36.04,35.825,319000,36.04,36.04,36.04,11496426.5,11496426.5,11496426.5,,3,SUR,-2.62
3,TQBR,2015-04-02,РУСАЛ ао,RUAL,42,8451696.5,36.005,35.8,36.56,36.45,36.18,36.45,233600,36.18,36.18,36.18,8451696.5,8451696.5,8451696.5,,3,SUR,1.74
4,TQBR,2015-04-03,РУСАЛ ао,RUAL,60,9625827.0,36.0,35.95,36.72,36.645,36.295,36.72,265200,36.295,36.295,36.295,9625827.0,9625827.0,9625827.0,,3,SUR,0.74
5,TQBR,2015-04-06,РУСАЛ ао,RUAL,51,14831756.0,36.4,36.1,36.81,36.475,36.315,36.8,408400,36.315,36.315,36.315,14831756.0,14831756.0,14831756.0,,3,SUR,0.22
6,TQBR,2015-04-07,РУСАЛ ао,RUAL,29,16036369.5,36.29,35.9,36.66,36.61,36.185,36.66,443200,36.185,36.185,36.185,16036369.5,16036369.5,16036369.5,,3,SUR,-0.38
7,TQBR,2015-04-08,РУСАЛ ао,RUAL,61,16238709.0,36.7,36.7,37.49,37.49,37.135,37.49,437300,37.135,37.135,37.135,16238709.0,16238709.0,16238709.0,,3,SUR,2.26
8,TQBR,2015-04-09,РУСАЛ ао,RUAL,55,17645940.0,36.9,35.39,36.9,36.49,35.96,36.55,490700,35.96,35.96,35.96,17645940.0,17645940.0,17645940.0,,3,SUR,-2.51
9,TQBR,2015-04-10,РУСАЛ ао,RUAL,140,19297001.5,35.9,34.0,36.2,34.89,34.52,35.38,559000,34.52,34.52,34.52,19297001.5,19297001.5,19297001.5,,3,SUR,-3.2
10,TQBR,2015-04-13,РУСАЛ ао,RUAL,54,16187819.5,34.5,34.25,34.79,34.77,34.4,34.79,470600,34.4,34.4,34.4,16187819.5,16187819.5,16187819.5,,3,SUR,-1.67
11,TQBR,2015-04-14,РУСАЛ ао,RUAL,49,17036237.0,33.0,33.0,34.49,33.8,33.435,34.49,509500,33.435,33.435,33.435,17036237.0,17036237.0,17036237.0,,3,SUR,-0.86
12,TQBR,2015-04-15,РУСАЛ ао,RUAL,32,15271105.0,33.15,33.1,34.7,34.415,33.315,34.7,458400,33.315,33.315,33.315,15271105.0,15271105.0,15271105.0,,3,SUR,0.61
13,TQBR,2015-04-16,РУСАЛ ао,RUAL,34,15160639.0,33.1,33.1,34.6,34.33,33.48,34.6,452800,33.48,33.48,33.48,15160639.0,15160639.0,15160639.0,,3,SUR,-0.29
