,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ИКРУСС-ИНВ,RUSI,1,43956,36.63,36.63,36.63,36.63,36.63,36.63,1200,36.869,36.869,36.869,656276,656276,656276.0,,3,SUR,-0.16
1,TQBR,2014-06-10,ИКРУСС-ИНВ,RUSI,2,51324,36.7,36.62,36.7,36.62,36.66,36.62,1400,36.832,36.835,36.832,615100,548842,615100.0,,3,SUR,-0.03
2,TQBR,2014-06-11,ИКРУСС-ИНВ,RUSI,1,36650,36.65,36.65,36.65,36.65,36.65,36.65,1000,36.83,36.83,36.83,548772,548772,548772.0,,3,SUR,0.08
3,TQBR,2014-06-16,ИКРУСС-ИНВ,RUSI,1,47918,36.86,36.86,36.86,36.65,36.86,36.86,1300,36.811,36.811,36.811,515356,515356,515356.0,,3,SUR,0.57
4,TQBR,2014-06-17,ИКРУСС-ИНВ,RUSI,1,66348,36.86,36.86,36.86,36.86,36.86,36.86,1800,,36.817,,0,581704,0.0,,3,SUR,0.0
5,TQBR,2014-06-18,ИКРУСС-ИНВ,RUSI,1,66222,36.79,36.79,36.79,36.86,36.79,36.79,1800,36.785,36.785,36.785,555451,555451,555451.0,,3,SUR,-0.19
6,TQBR,2014-06-19,ИКРУСС-ИНВ,RUSI,1,36850,36.85,36.85,36.85,36.85,36.85,36.85,1000,36.764,36.764,36.764,529401,529401,529401.0,,3,SUR,0.16
7,TQBR,2014-06-20,ИКРУСС-ИНВ,RUSI,1,81158,36.89,36.89,36.89,36.85,36.89,36.89,2200,36.776,36.776,36.776,540601,540601,540601.0,,3,SUR,0.11
8,TQBR,2014-06-23,ИКРУСС-ИНВ,RUSI,1,81224,36.92,36.92,36.92,36.85,36.92,36.92,2200,36.798,36.809,36.798,566685,511650,566685.0,,3,SUR,0.08
9,TQBR,2014-06-24,ИКРУСС-ИНВ,RUSI,1,81334,36.97,36.97,36.97,36.85,36.97,36.97,2200,36.831,36.848,36.831,592984,549028,592984.0,,3,SUR,0.14
