,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2021-04-28,Сегежа,SGZH,51993,1543283700.8,8.1,7.801,8.1,7.968,7.996,7.968,193813200,7.963,7.963,7.968,1543283700.8,1543283700.8,1543283700.8,0,3,SUR,
1,TQBR,2021-04-29,Сегежа,SGZH,21682,660017517.7,8.0,7.88,8.0,7.9,7.931,7.9,83221800,7.931,7.931,7.9,660017517.7,660017517.7,660017517.7,0,3,SUR,-0.85
2,TQBR,2021-04-30,Сегежа,SGZH,90371,643659631.6,7.901,7.651,7.965,7.88,7.85,7.88,81990900,7.85,7.85,7.88,643659631.6,643659631.6,643659631.6,0,3,SUR,-0.25
3,TQBR,2021-05-04,Сегежа,SGZH,10144,705215228.9,7.88,7.88,7.948,7.91,7.907,7.91,89185600,7.907,7.907,7.91,705215228.9,705215228.9,705215228.9,0,3,SUR,0.38
4,TQBR,2021-05-05,Сегежа,SGZH,8756,349100371.3,7.882,7.882,8.013,8.0,7.972,8.0,43793000,7.972,7.972,8.0,349100371.3,349100371.3,349100371.3,0,3,SUR,1.14
5,TQBR,2021-05-06,Сегежа,SGZH,8092,229360893.9,8.0,7.9,8.0,8.0,7.983,8.0,28732500,7.983,7.983,8.0,229360893.9,229360893.9,229360893.9,0,3,SUR,0.0
6,TQBR,2021-05-07,Сегежа,SGZH,5016,120316494.2,8.0,7.924,8.02,8.0,7.986,8.0,15066500,7.986,7.986,8.0,120316494.2,120316494.2,120316494.2,0,3,SUR,0.0
7,TQBR,2021-05-10,Сегежа,SGZH,4402,80054032.9,8.003,7.947,8.003,7.981,7.982,7.981,10029400,7.982,7.982,7.981,80054032.9,80054032.9,80054032.9,0,3,SUR,-0.24
8,TQBR,2021-05-11,Сегежа,SGZH,22367,283849279.6,7.981,7.89,8.0,7.994,7.973,7.994,35602500,7.973,7.973,7.994,283849279.6,283849279.6,283849279.6,0,3,SUR,0.16
9,TQBR,2021-05-12,Сегежа,SGZH,4902,150058728.7,8.0,7.92,8.0,7.965,7.975,7.965,18815300,7.975,7.975,7.965,150058728.7,150058728.7,150058728.7,0,3,SUR,-0.36
10,TQBR,2021-05-13,Сегежа,SGZH,9103,214188425.0,7.965,7.91,7.986,7.97,7.947,7.97,26952800,7.947,7.947,7.97,214188425.0,214188425.0,214188425.0,0,3,SUR,0.06
11,TQBR,2021-05-14,Сегежа,SGZH,5012,98013876.5,7.97,7.92,7.975,7.951,7.95,7.951,12328200,7.95,7.95,7.951,98013876.5,98013876.5,98013876.5,0,3,SUR,-0.24
12,TQBR,2021-05-17,Сегежа,SGZH,4134,100343085.9,7.98,7.918,7.98,7.95,7.947,7.95,12625800,7.947,7.947,7.95,100343085.9,100343085.9,100343085.9,0,3,SUR,-0.01
13,TQBR,2021-05-18,Сегежа,SGZH,7451,238996558.6,7.963,7.905,7.98,7.926,7.949,7.926,30066100,7.949,7.949,7.926,238996558.6,238996558.6,238996558.6,0,3,SUR,-0.3
14,TQBR,2021-05-19,Сегежа,SGZH,5978,193749073.4,7.96,7.909,7.971,7.95,7.928,7.95,24439200,7.928,7.928,7.95,193749073.4,193749073.4,193749073.4,0,3,SUR,0.3
15,TQBR,2021-05-20,Сегежа,SGZH,12022,446020901.4,7.935,7.6,8.015,7.994,7.954,7.994,56073500,7.954,7.954,7.994,446020901.4,446020901.4,446020901.4,0,3,SUR,0.55
16,TQBR,2021-05-21,Сегежа,SGZH,4529,195796935.7,7.996,7.92,7.996,7.96,7.957,7.96,24606500,7.957,7.957,7.96,195796935.7,195796935.7,195796935.7,0,3,SUR,-0.43
17,TQBR,2021-05-24,Сегежа,SGZH,7255,463589017.4,7.921,7.921,7.997,7.99,7.975,7.99,58127800,7.975,7.975,7.99,463589017.4,463589017.4,463589017.4,0,3,SUR,0.38
18,TQBR,2021-05-25,Сегежа,SGZH,4277,202305091.3,7.997,7.935,7.997,7.97,7.978,7.97,25357000,7.978,7.978,7.97,202305091.3,202305091.3,202305091.3,0,3,SUR,-0.25
19,TQBR,2021-05-26,Сегежа,SGZH,5909,141301060.9,7.97,7.935,7.98,7.97,7.96,7.97,17751900,7.96,7.96,7.97,141301060.9,141301060.9,141301060.9,0,3,SUR,0.0
20,TQBR,2021-05-27,Сегежа,SGZH,4832,323122764.1,7.97,7.935,8.0,8.0,7.98,8.0,40490300,7.98,7.98,8.0,323122764.1,323122764.1,323122764.1,0,3,SUR,0.38
21,TQBR,2021-05-28,Сегежа,SGZH,10049,190144899.9,7.99,7.745,7.99,7.8,7.872,7.8,24166000,7.868,7.868,7.8,190144899.9,190144899.9,190144899.9,0,3,SUR,-2.5
