,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2020-10-29,Самолет ао,SMLT,7411,201748750.0,969.0,908.0,1053.0,953.0,950.4,953.0,210997,956.2,956.2,953.0,201748750.0,201748750.0,201748750.0,0,3,SUR,
1,TQBR,2020-10-30,Самолет ао,SMLT,2118,52488207.2,955.0,951.6,990.0,955.0,964.8,955.0,54402,964.8,964.8,955.0,52488207.2,52488207.2,52488207.2,0,3,SUR,0.21
2,TQBR,2020-11-02,Самолет ао,SMLT,2365,15857360.4,955.0,952.0,958.0,957.0,951.6,957.0,16599,955.4,955.4,957.0,15857360.4,15857360.4,15857360.4,0,3,SUR,0.21
3,TQBR,2020-11-03,Самолет ао,SMLT,1574,8569232.6,959.6,952.0,959.6,952.6,953.8,952.6,8985,953.8,953.8,952.6,8569232.6,8569232.6,8569232.6,0,3,SUR,-0.46
4,TQBR,2020-11-05,Самолет ао,SMLT,2161,14773301.6,959.0,944.8,959.0,952.8,952.8,952.8,15505,952.8,952.8,952.8,14773301.6,14773301.6,14773301.6,0,3,SUR,0.02
5,TQBR,2020-11-06,Самолет ао,SMLT,1751,9228375.4,958.2,950.6,958.2,951.8,952.2,952.0,9682,953.2,953.2,951.8,9228375.4,9228375.4,9228375.4,0,3,SUR,-0.08
6,TQBR,2020-11-09,Самолет ао,SMLT,2464,14100818.0,952.0,940.6,954.2,942.0,947.0,942.0,14891,947.0,947.0,942.0,14100818.0,14100818.0,14100818.0,0,3,SUR,-1.05
7,TQBR,2020-11-10,Самолет ао,SMLT,1841,11997319.0,940.2,935.0,951.0,950.0,945.0,950.0,12696,945.0,945.0,950.0,11997319.0,11997319.0,11997319.0,0,3,SUR,0.85
8,TQBR,2020-11-11,Самолет ао,SMLT,1017,9441366.0,950.8,940.2,950.8,948.0,945.4,948.0,9998,944.4,944.4,948.0,9441366.0,9441366.0,9441366.0,0,3,SUR,-0.21
9,TQBR,2020-11-12,Самолет ао,SMLT,917,3596689.4,950.0,941.0,950.6,947.0,949.0,947.0,3810,944.0,944.0,947.0,3596689.4,3596689.4,3596689.4,0,3,SUR,-0.11
10,TQBR,2020-11-13,Самолет ао,SMLT,870,5926348.4,947.0,941.0,950.0,947.6,945.6,947.0,6267,945.6,945.6,947.6,5926348.4,5926348.4,5926348.4,0,3,SUR,0.0
11,TQBR,2020-11-16,Самолет ао,SMLT,1392,12077021.4,949.8,941.2,951.0,948.4,947.6,948.4,12746,947.6,947.6,948.4,12077021.4,12077021.4,12077021.4,0,3,SUR,0.15
12,TQBR,2020-11-17,Самолет ао,SMLT,817,4739125.0,942.0,941.2,950.8,947.4,946.8,947.6,5005,946.8,946.8,947.4,4739125.0,4739125.0,4739125.0,0,3,SUR,-0.08
13,TQBR,2020-11-18,Самолет ао,SMLT,928,9839649.4,948.0,940.0,948.0,947.0,944.2,947.0,10422,944.2,944.2,947.0,9839649.4,9839649.4,9839649.4,0,3,SUR,-0.06
14,TQBR,2020-11-19,Самолет ао,SMLT,585,3487561.0,949.6,942.8,949.6,946.2,946.0,946.2,3687,946.0,946.0,946.2,3487561.0,3487561.0,3487561.0,0,3,SUR,-0.08
15,TQBR,2020-11-20,Самолет ао,SMLT,668,3680091.4,946.2,942.2,949.6,943.2,952.4,943.2,3896,944.6,944.6,943.2,3680091.4,3680091.4,3680091.4,0,3,SUR,-0.32
16,TQBR,2020-11-23,Самолет ао,SMLT,934,8424947.0,949.4,941.2,949.6,946.0,945.0,946.2,8916,945.0,945.0,946.0,8424947.0,8424947.0,8424947.0,0,3,SUR,0.32
17,TQBR,2020-11-24,Самолет ао,SMLT,763,5182374.8,942.4,941.2,948.0,943.2,942.8,947.8,5497,942.8,942.8,943.2,5182374.8,5182374.8,5182374.8,0,3,SUR,0.17
18,TQBR,2020-11-25,Самолет ао,SMLT,905,13448767.4,949.0,941.2,950.0,949.0,948.4,949.0,14179,948.4,948.4,949.0,13448767.4,13448767.4,13448767.4,0,3,SUR,0.13
19,TQBR,2020-11-26,Самолет ао,SMLT,614,6289686.0,948.2,941.2,949.6,945.0,944.6,945.0,6659,944.6,944.6,945.0,6289686.0,6289686.0,6289686.0,0,3,SUR,-0.42
20,TQBR,2020-11-27,Самолет ао,SMLT,717,7219531.0,948.8,941.8,948.8,946.8,944.0,946.8,7648,944.0,944.0,946.8,7219531.0,7219531.0,7219531.0,0,3,SUR,0.19
21,TQBR,2020-11-30,Самолет ао,SMLT,673,2211574.0,948.4,942.2,948.4,944.0,943.6,944.0,2344,943.6,943.6,944.0,2211574.0,2211574.0,2211574.0,0,3,SUR,-0.3
22,TQBR,2020-12-01,Самолет ао,SMLT,554,5325458.4,942.0,940.0,948.4,945.0,944.2,945.0,5640,944.2,944.2,945.0,5325458.4,5325458.4,5325458.4,0,3,SUR,0.11
23,TQBR,2020-12-02,Самолет ао,SMLT,596,6746587.4,941.4,941.2,946.6,946.0,943.6,946.0,7150,943.6,943.6,946.0,6746587.4,6746587.4,6746587.4,0,3,SUR,0.11
24,TQBR,2020-12-03,Самолет ао,SMLT,531,6343554.6,942.2,941.2,946.0,942.6,942.6,942.6,6730,942.6,942.6,942.6,6343554.6,6343554.6,6343554.6,0,3,SUR,-0.36
25,TQBR,2020-12-04,Самолет ао,SMLT,427,6401970.0,941.2,941.0,944.0,943.8,942.8,943.8,6791,942.8,942.8,943.8,6401970.0,6401970.0,6401970.0,0,3,SUR,0.13
26,TQBR,2020-12-07,Самолет ао,SMLT,962,16093114.2,941.6,933.0,944.4,935.6,938.2,935.6,17152,938.2,938.2,935.6,16093114.2,16093114.2,16093114.2,0,3,SUR,-0.87
27,TQBR,2020-12-08,Самолет ао,SMLT,582,5329383.6,942.0,930.0,942.0,935.0,934.2,935.0,5705,934.2,934.2,935.0,5329383.6,5329383.6,5329383.6,0,3,SUR,-0.06
28,TQBR,2020-12-09,Самолет ао,SMLT,664,6090387.2,940.0,931.0,946.0,940.2,940.8,940.8,6474,940.8,940.8,940.2,6090387.2,6090387.2,6090387.2,0,3,SUR,0.62
29,TQBR,2020-12-10,Самолет ао,SMLT,359,7424360.8,945.0,935.0,945.0,939.0,939.8,939.0,7900,939.8,939.8,939.0,7424360.8,7424360.8,7424360.8,0,3,SUR,-0.19
30,TQBR,2020-12-11,Самолет ао,SMLT,360,2159689.6,939.0,932.0,943.8,936.0,936.6,936.0,2306,936.6,936.6,936.0,2159689.6,2159689.6,2159689.6,0,3,SUR,-0.32
