,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-05-27,Светофор п,SVETP,117,1791172.75,56.35,35.4,56.5,55.95,55.7,55.95,32152,55.7,55.7,,1791172.75,1791172.75,,0,3,SUR,
1,TQBR,2024-05-28,Светофор п,SVETP,225,398701.8,56.05,53.8,56.05,54.95,54.35,55.5,7335,,54.5,,0.0,528617.75,,0,3,SUR,-0.8
2,TQBR,2024-05-29,Светофор п,SVETP,137,461875.55,55.5,51.55,56.3,56.3,56.1,56.3,8236,,55.9,,0.0,566190.3,,0,3,SUR,1.44
3,TQBR,2024-05-30,Светофор п,SVETP,108,287252.35,57.0,53.6,57.0,53.6,55.25,53.6,5197,,55.7,,0.0,501825.65,,0,3,SUR,-4.8
4,TQBR,2024-05-31,Светофор п,SVETP,336,770884.1,53.6,46.45,54.85,49.3,49.15,49.85,15690,49.15,49.15,,770884.1,770884.1,,0,3,SUR,-7.0
5,TQBR,2024-06-03,Светофор п,SVETP,711,3570248.9,50.55,42.55,57.0,57.0,50.9,57.0,70121,50.9,50.9,,3570248.9,3570248.9,,0,3,SUR,14.34
6,TQBR,2024-06-04,Светофор п,SVETP,382,1330573.15,56.0,48.85,56.5,55.6,54.15,55.95,24570,54.15,54.15,,1330573.15,1330573.15,,0,3,SUR,-1.84
7,TQBR,2024-06-05,Светофор п,SVETP,318,1585395.95,55.95,52.35,56.5,54.5,54.5,54.5,29103,54.5,54.5,,1585395.95,1585395.95,,0,3,SUR,-2.59
8,TQBR,2024-06-06,Светофор п,SVETP,108,262023.35,54.05,52.45,54.4,53.15,53.1,53.15,4933,,53.65,,0.0,509836.2,,0,3,SUR,-2.48
9,TQBR,2024-06-07,Светофор п,SVETP,168,433489.9,53.15,51.75,53.8,53.45,53.15,53.3,8154,,53.15,,0.0,500048.9,,0,3,SUR,0.28
10,TQBR,2024-06-10,Светофор п,SVETP,104,215867.35,53.5,52.85,54.1,53.5,53.6,52.85,4028,,53.45,,0.0,504346.5,,0,3,SUR,-0.84
11,TQBR,2024-06-11,Светофор п,SVETP,201,370651.05,54.75,52.0,56.3,53.15,54.0,53.15,6861,,53.95,,0.0,505572.05,,0,3,SUR,0.57
12,TQBR,2024-06-13,Светофор п,SVETP,145,363794.35,52.05,49.5,52.35,52.35,51.15,52.35,7113,,52.1,,0.0,500465.7,,0,3,SUR,-1.51
13,TQBR,2024-06-14,Светофор п,SVETP,250,855960.2,52.8,50.05,55.3,53.95,53.8,53.95,15915,53.8,53.8,,855960.2,855960.2,,0,3,SUR,3.06
14,TQBR,2024-06-17,Светофор п,SVETP,93,346831.45,54.3,52.7,55.0,53.5,53.65,53.5,6463,,53.9,,0.0,507567.5,,0,3,SUR,-0.83
15,TQBR,2024-06-18,Светофор п,SVETP,89,160370.5,52.9,52.5,53.9,52.55,53.4,52.5,3002,,53.6,,0.0,505186.35,,0,3,SUR,-1.87
16,TQBR,2024-06-19,Светофор п,SVETP,94,221742.0,52.65,51.4,52.65,51.85,51.9,51.85,4272,,52.75,,0.0,552301.25,,0,3,SUR,-1.24
17,TQBR,2024-06-20,Светофор п,SVETP,131,139872.05,51.45,50.5,52.35,51.0,51.35,51.0,2724,,52.2,,0.0,509434.55,,0,3,SUR,-1.64
18,TQBR,2024-06-21,Светофор п,SVETP,176,340679.45,51.65,50.5,53.2,51.9,52.35,51.9,6508,,52.05,,0.0,528205.85,,0,3,SUR,1.76
19,TQBR,2024-06-24,Светофор п,SVETP,297,474196.95,50.9,46.0,53.0,48.9,49.75,48.8,9528,,49.9,,0.0,510181.85,,0,3,SUR,-5.97
20,TQBR,2024-06-25,Светофор п,SVETP,516,2543250.65,51.2,49.55,61.05,57.4,57.4,57.4,44302,57.4,57.4,,2543250.65,2543250.65,,0,3,SUR,17.62
21,TQBR,2024-06-26,Светофор п,SVETP,539,1517769.15,57.95,53.6,59.0,55.6,56.35,56.2,26932,56.35,56.35,,1517769.15,1517769.15,,0,3,SUR,-2.09
22,TQBR,2024-06-27,Светофор п,SVETP,245,519725.0,55.95,54.15,60.55,55.5,56.95,55.5,9128,56.95,56.95,,519725.0,519725.0,,0,3,SUR,-1.25
23,TQBR,2024-06-28,Светофор п,SVETP,453,1224964.95,55.0,51.8,57.6,55.6,54.75,55.6,22376,54.75,54.75,,1224964.95,1224964.95,,0,3,SUR,0.18
24,TQBR,2024-07-01,Светофор п,SVETP,280,572083.65,55.6,54.25,57.0,54.55,54.85,54.5,10429,54.85,54.85,,572083.65,572083.65,,0,3,SUR,-1.98
25,TQBR,2024-07-02,Светофор п,SVETP,472,957298.1,54.65,53.6,57.05,55.0,54.35,55.0,17615,54.35,54.35,,957298.1,957298.1,,0,3,SUR,0.92
26,TQBR,2024-07-03,Светофор п,SVETP,461,975080.45,55.0,53.85,56.6,54.9,55.35,54.9,17614,55.35,55.35,,975080.45,975080.45,,0,3,SUR,-0.18
27,TQBR,2024-07-04,Светофор п,SVETP,412,909271.55,54.8,52.65,56.4,54.7,54.6,54.7,16652,54.6,54.6,,909271.55,909271.55,,0,3,SUR,-0.36
28,TQBR,2024-07-05,Светофор п,SVETP,505,1530571.45,55.15,53.5,55.25,55.15,54.7,55.0,27980,54.7,54.7,,1530571.45,1530571.45,,0,3,SUR,0.55
29,TQBR,2024-07-08,Светофор п,SVETP,540,1777996.0,55.0,53.75,56.2,55.5,54.45,55.5,32649,54.45,54.45,,1777996.0,1777996.0,,0,3,SUR,0.91
30,TQBR,2024-07-09,Светофор п,SVETP,855,2590485.85,54.9,48.25,54.9,49.95,51.1,49.95,50674,51.1,51.1,,2590485.85,2590485.85,,0,3,SUR,-10.0
31,TQBR,2024-07-10,Светофор п,SVETP,348,1385128.5,50.4,49.5,53.45,49.5,51.25,49.5,27031,51.25,51.25,,1385128.5,1385128.5,,0,3,SUR,-0.9
32,TQBR,2024-07-11,Светофор п,SVETP,166,275858.85,49.5,49.3,51.35,50.0,49.9,50.0,5527,,50.0,,0.0,501570.85,,0,3,SUR,1.01
33,TQBR,2024-07-12,Светофор п,SVETP,148,180473.05,50.25,49.1,51.15,49.65,49.75,49.65,3626,,49.85,,0.0,505459.25,,0,3,SUR,-0.7
34,TQBR,2024-07-15,Светофор п,SVETP,228,1103612.3,50.4,49.0,52.0,51.4,51.15,51.4,21569,51.15,51.15,,1103612.3,1103612.3,,0,3,SUR,3.52
35,TQBR,2024-07-16,Светофор п,SVETP,277,1093494.0,51.65,49.75,53.45,51.8,51.35,51.8,21293,51.35,51.35,,1093494.0,1093494.0,,0,3,SUR,0.78
36,TQBR,2024-07-17,Светофор п,SVETP,307,1324909.2,52.0,48.2,53.05,51.4,51.3,51.4,25839,51.3,51.3,,1324909.2,1324909.2,,0,3,SUR,-0.77
37,TQBR,2024-07-18,Светофор п,SVETP,335,1013612.4,51.65,49.0,52.0,50.65,50.4,50.7,20115,50.4,50.4,,1013612.4,1013612.4,,0,3,SUR,-1.36
38,TQBR,2024-07-19,Светофор п,SVETP,174,710205.1,51.2,50.0,51.95,51.0,51.05,51.0,13910,51.05,51.05,,710205.1,710205.1,,0,3,SUR,0.59
39,TQBR,2024-07-22,Светофор п,SVETP,321,2487971.3,51.05,48.95,51.45,50.55,50.7,50.55,49051,50.7,50.7,,2487971.3,2487971.3,,0,3,SUR,-0.88
40,TQBR,2024-07-23,Светофор п,SVETP,416,1445075.75,51.0,49.15,51.5,50.1,50.5,50.1,28602,50.5,50.5,,1445075.75,1445075.75,,0,3,SUR,-0.89
41,TQBR,2024-07-24,Светофор п,SVETP,619,1804786.9,49.95,49.85,53.45,50.7,51.35,50.95,35155,51.35,51.35,,1804786.9,1804786.9,,0,3,SUR,1.7
42,TQBR,2024-07-25,Светофор п,SVETP,551,2290893.0,51.1,50.1,53.3,51.3,51.75,51.65,44257,51.75,51.75,,2290893.0,2290893.0,,0,3,SUR,1.37
43,TQBR,2024-07-26,Светофор п,SVETP,592,1851472.6,52.3,48.9,52.3,50.8,50.4,50.8,36727,50.4,50.4,,1851472.6,1851472.6,,0,3,SUR,-1.65
44,TQBR,2024-07-29,Светофор п,SVETP,465,865133.75,50.0,47.7,50.7,47.8,48.7,47.8,17756,48.7,48.7,,865133.75,865133.75,,0,3,SUR,-5.91
