,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2013-09-02,ТГК-1,TGKA,273,23314738.6,0.007239,0.006832,0.007239,0.007,0.006982,0.006998,3339400000,0.006982,0.006982,0.006982,23314738.6,23314738.6,23314738.6,,3,SUR,0.57
1,TQBR,2013-09-03,ТГК-1,TGKA,226,8876026.0,0.007116,0.006812,0.007116,0.006945,0.006982,0.006944,1271300000,0.00698,0.00698,0.00698,8733706.0,8733706.0,8733706.0,,3,SUR,-0.77
2,TQBR,2013-09-04,ТГК-1,TGKA,201,2439845.0,0.006858,0.006823,0.006999,0.00696,0.006935,0.00697,351800000,0.006935,0.006935,0.006935,2439845.0,2439845.0,2439845.0,,3,SUR,0.37
3,TQBR,2013-09-05,ТГК-1,TGKA,315,8227416.0,0.00696,0.00685,0.007213,0.0072,0.007096,0.007199,1159500000,0.007096,0.007096,0.007096,8227416.0,8227416.0,8227416.0,,3,SUR,3.29
4,TQBR,2013-09-06,ТГК-1,TGKA,676,41105745.4,0.007185,0.00692,0.007251,0.006947,0.007118,0.006977,5775100000,0.007118,0.007118,0.007118,41105745.4,41105745.4,41105745.4,,3,SUR,-3.08
5,TQBR,2013-09-09,ТГК-1,TGKA,1030,8911945.9,0.007009,0.006936,0.007079,0.007019,0.007011,0.007025,1271200000,0.007011,0.007011,0.007011,8911945.9,8911945.9,8911945.9,,3,SUR,0.69
6,TQBR,2013-09-10,ТГК-1,TGKA,118,1954217.5,0.007006,0.006914,0.007053,0.007052,0.007004,0.007053,279000000,0.007004,0.007004,0.007004,1954217.5,1954217.5,1954217.5,,3,SUR,0.4
7,TQBR,2013-09-11,ТГК-1,TGKA,318,10468947.3,0.007053,0.007031,0.007275,0.007122,0.007119,0.00714,1470500000,0.007119,0.007119,0.007119,10468947.3,10468947.3,10468947.3,,3,SUR,1.23
8,TQBR,2013-09-12,ТГК-1,TGKA,310,11894353.3,0.007119,0.00699,0.007169,0.00699,0.007091,0.007002,1677300000,0.007091,0.007091,0.007091,11894353.3,11894353.3,11894353.3,,3,SUR,-1.93
9,TQBR,2013-09-13,ТГК-1,TGKA,142,2840087.3,0.007013,0.006844,0.007014,0.0069,0.006907,0.00688,411200000,0.006907,0.006907,0.006907,2840087.3,2840087.3,2840087.3,,3,SUR,-1.74
10,TQBR,2013-09-16,ТГК-1,TGKA,107,9180923.7,0.00694,0.006891,0.006997,0.006987,0.006973,0.006997,1316600000,0.006973,0.006973,0.006973,9180923.7,9180923.7,9180923.7,,3,SUR,1.7
11,TQBR,2013-09-17,ТГК-1,TGKA,1013,3645330.4,0.006997,0.006835,0.007029,0.006992,0.007002,0.006996,520600000,0.007002,0.007002,0.007002,3645330.4,3645330.4,3645330.4,,3,SUR,-0.01
12,TQBR,2013-09-18,ТГК-1,TGKA,231,6938053.9,0.006924,0.0068,0.007038,0.006941,0.006958,0.006961,997200000,0.006958,0.006958,0.006958,6938053.9,6938053.9,6938053.9,,3,SUR,-0.5
13,TQBR,2013-09-19,ТГК-1,TGKA,174,5546232.2,0.006999,0.006857,0.007049,0.006894,0.006983,0.006919,794300000,0.006983,0.006983,0.006983,5546232.2,5546232.2,5546232.2,,3,SUR,-0.6
14,TQBR,2013-09-20,ТГК-1,TGKA,162,1561437.1,0.00689,0.0067,0.006918,0.006771,0.006798,0.006771,229700000,0.006798,0.006798,0.006798,1561437.1,1561437.1,1561437.1,,3,SUR,-2.14
15,TQBR,2013-09-23,ТГК-1,TGKA,150,3544562.8,0.006809,0.006659,0.006814,0.006686,0.006721,0.0067,527400000,0.006721,0.006721,0.006721,3544562.8,3544562.8,3544562.8,,3,SUR,-1.05
16,TQBR,2013-09-24,ТГК-1,TGKA,206,3437040.9,0.0067,0.006588,0.006798,0.006589,0.00666,0.0066,516100000,0.00666,0.00666,0.00666,3437040.9,3437040.9,3437040.9,,3,SUR,-1.49
17,TQBR,2013-09-25,ТГК-1,TGKA,485,19380017.1,0.006587,0.006422,0.006662,0.00653,0.006549,0.00653,2959300000,0.006549,0.006549,0.006549,19380017.1,19380017.1,19380017.1,,3,SUR,-1.06
18,TQBR,2013-09-26,ТГК-1,TGKA,351,13066380.5,0.00655,0.0065,0.006701,0.00653,0.006561,0.006529,1991500000,0.006561,0.006561,0.006561,13066380.5,13066380.5,13066380.5,,3,SUR,-0.02
19,TQBR,2013-09-27,ТГК-1,TGKA,164,4028877.1,0.006502,0.00646,0.006573,0.006475,0.006493,0.006489,620500000,0.006493,0.006493,0.006493,4028877.1,4028877.1,4028877.1,,3,SUR,-0.61
20,TQBR,2013-09-30,ТГК-1,TGKA,389,11654654.0,0.006475,0.006211,0.006501,0.006252,0.006357,0.006282,1833500000,0.006357,0.006357,0.006357,11654654.0,11654654.0,11654654.0,,3,SUR,-3.19
21,TQBR,2013-10-01,ТГК-1,TGKA,151,1756773.8,0.006358,0.006216,0.006399,0.006386,0.006331,0.006399,277500000,0.00633,0.00633,0.00633,1737699.8,1737699.8,1737699.8,,3,SUR,1.86
22,TQBR,2013-10-02,ТГК-1,TGKA,89,1842405.9,0.006399,0.006329,0.006414,0.00635,0.00636,0.00637,289700000,0.00636,0.00636,0.00636,1842405.9,1842405.9,1842405.9,,3,SUR,-0.45
23,TQBR,2013-10-03,ТГК-1,TGKA,83,4261635.4,0.00633,0.006325,0.006375,0.006327,0.006345,0.006343,671600000,0.006345,0.006345,0.006345,4261635.4,4261635.4,4261635.4,,3,SUR,-0.42
24,TQBR,2013-10-04,ТГК-1,TGKA,121,3779430.2,0.006311,0.00625,0.00637,0.00637,0.006279,0.00637,601900000,0.006279,0.006279,0.006279,3779430.2,3779430.2,3779430.2,,3,SUR,0.43
25,TQBR,2013-10-07,ТГК-1,TGKA,139,3080232.7,0.00637,0.006303,0.006479,0.00645,0.006424,0.00645,479500000,0.006424,0.006424,0.006424,3080232.7,3080232.7,3080232.7,,3,SUR,1.26
26,TQBR,2013-10-08,ТГК-1,TGKA,229,10277019.6,0.006486,0.006432,0.006684,0.006684,0.006585,0.00661,1560700000,0.006585,0.006585,0.006585,10277019.6,10277019.6,10277019.6,,3,SUR,2.48
27,TQBR,2013-10-09,ТГК-1,TGKA,181,6878985.6,0.00658,0.00658,0.006767,0.006708,0.006687,0.006719,1028700000,0.006687,0.006687,0.006687,6878985.6,6878985.6,6878985.6,,3,SUR,1.65
28,TQBR,2013-10-10,ТГК-1,TGKA,387,17450700.5,0.006734,0.006635,0.00685,0.0068,0.006731,0.00677,2592400000,0.006731,0.006731,0.006731,17450700.5,17450700.5,17450700.5,,3,SUR,0.76
29,TQBR,2013-10-11,ТГК-1,TGKA,170,8857330.1,0.006756,0.006756,0.00688,0.006792,0.006841,0.006836,1294700000,0.006841,0.006841,0.006841,8857330.1,8857330.1,8857330.1,,3,SUR,0.97
30,TQBR,2013-10-14,ТГК-1,TGKA,122,1567600.3,0.006703,0.006681,0.006848,0.006788,0.006801,0.006833,230500000,0.006801,0.006801,0.006801,1567600.3,1567600.3,1567600.3,,3,SUR,-0.04
31,TQBR,2013-10-15,ТГК-1,TGKA,110,1499746.7,0.006726,0.006726,0.006879,0.006799,0.006833,0.006799,219500000,0.006833,0.006833,0.006833,1499746.7,1499746.7,1499746.7,,3,SUR,-0.5
