,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,УрКузница,URKZ,0,0,,,,5700,,,0,,6321,,0,651042,0.0,,3,SUR,
1,TQBR,2014-06-10,УрКузница,URKZ,6,495990,6193.0,6100.0,6250.0,6200,6200.0,6100.0,80,6092.0,6092,6092.0,590890,590890,590890.0,,3,SUR,7.02
2,TQBR,2014-06-11,УрКузница,URKZ,0,0,,,,6200,,,0,6092.0,6092,6092.0,590890,590890,590890.0,,3,SUR,
3,TQBR,2014-06-16,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,SUR,
4,TQBR,2014-06-17,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,SUR,
5,TQBR,2014-06-18,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,SUR,
6,TQBR,2014-06-19,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,SUR,
7,TQBR,2014-06-20,УрКузница,URKZ,2,36001,6001.0,6000.0,6001.0,6000,6000.0,6000.0,6,,6104,,0,610391,0.0,,3,SUR,-1.64
8,TQBR,2014-06-23,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
9,TQBR,2014-06-24,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
10,TQBR,2014-06-25,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
11,TQBR,2014-06-26,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
12,TQBR,2014-06-27,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
13,TQBR,2014-06-30,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,SUR,
14,TQBR,2014-07-01,УрКузница,URKZ,3,89700,5700.0,5700.0,6000.0,6000,5980.0,6000.0,15,,6155,,0,615498,0.0,,3,SUR,0.0
15,TQBR,2014-07-02,УрКузница,URKZ,0,0,,,,6000,,,0,,6155,,0,615498,0.0,,3,SUR,
16,TQBR,2014-07-03,УрКузница,URKZ,1,96000,6000.0,6000.0,6000.0,6000,6000.0,6000.0,16,,6133,,0,705300,0.0,,3,SUR,0.0
17,TQBR,2014-07-04,УрКузница,URKZ,9,323399,5350.0,5350.0,6000.0,6000,5775.0,6000.0,56,,5853,,0,503399,0.0,,3,SUR,0.0
18,TQBR,2014-07-07,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,SUR,
19,TQBR,2014-07-08,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,SUR,
20,TQBR,2014-07-09,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,SUR,
21,TQBR,2014-07-10,УрКузница,URKZ,0,0,,,,6000,,,0,5852.0,5853,5852.0,509099,503399,509099.0,,3,SUR,
22,TQBR,2014-07-11,УрКузница,URKZ,0,0,,,,6000,,,0,5852.0,5853,5852.0,509099,503399,509099.0,,3,SUR,
23,TQBR,2014-07-14,УрКузница,URKZ,3,126947,6299.0,6299.0,6350.0,6347,6347.0,6350.0,20,5944.0,5939,5944.0,636046,546346,636046.0,,3,SUR,5.83
24,TQBR,2014-07-15,УрКузница,URKZ,0,0,,,,6347,,,0,5939.0,5939,5939.0,546346,546346,546346.0,,3,SUR,
25,TQBR,2014-07-16,УрКузница,URKZ,0,0,,,,6347,,,0,5939.0,5939,5939.0,546346,546346,546346.0,,3,SUR,
26,TQBR,2014-07-17,УрКузница,URKZ,0,0,,,,6347,,,0,,5939,,0,546346,0.0,,3,SUR,
27,TQBR,2014-07-18,УрКузница,URKZ,1,55592,6949.0,6949.0,6949.0,6949,6949.0,6949.0,8,,6031,,0,500588,0.0,,3,SUR,9.43
28,TQBR,2014-07-21,УрКузница,URKZ,0,0,,,,6949,,,0,,6031,,0,500588,0.0,,3,SUR,
29,TQBR,2014-07-22,УрКузница,URKZ,0,0,,,,6949,,,0,,6031,,0,500588,0.0,,3,SUR,
30,TQBR,2014-07-23,УрКузница,URKZ,3,95000,6300.0,6300.0,6350.0,6350,6333.0,6350.0,15,,6230,,0,504638,0.0,,3,SUR,-8.62
31,TQBR,2014-07-24,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
32,TQBR,2014-07-25,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
33,TQBR,2014-07-28,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
34,TQBR,2014-07-29,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
35,TQBR,2014-07-30,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
36,TQBR,2014-07-31,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
37,TQBR,2014-08-01,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,SUR,
38,TQBR,2014-08-04,УрКузница,URKZ,2,241000,6100.0,6000.0,6100.0,6025,6025.0,6000.0,40,,6221,,0,578539,0.0,,3,SUR,-5.51
39,TQBR,2014-08-05,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,SUR,
40,TQBR,2014-08-06,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,SUR,
41,TQBR,2014-08-07,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,SUR,
42,TQBR,2014-08-08,УрКузница,URKZ,1,189000,6300.0,6300.0,6300.0,6300,6300.0,6300.0,30,,6261,,0,707539,0.0,,3,SUR,5.0
43,TQBR,2014-08-11,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707539,0.0,,3,SUR,
44,TQBR,2014-08-12,УрКузница,URKZ,1,6300,6300.0,6300.0,6300.0,6300,6300.0,6300.0,1,,6261,,0,707540,0.0,,3,SUR,0.0
45,TQBR,2014-08-13,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,SUR,
46,TQBR,2014-08-14,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,SUR,
47,TQBR,2014-08-15,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,SUR,
48,TQBR,2014-08-18,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,SUR,
49,TQBR,2014-08-19,УрКузница,URKZ,1,60000,6000.0,6000.0,6000.0,6000,6000.0,6000.0,10,,6239,,0,761192,0.0,,3,SUR,-4.76
50,TQBR,2014-08-20,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,SUR,
51,TQBR,2014-08-21,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,SUR,
52,TQBR,2014-08-22,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,SUR,
53,TQBR,2014-08-25,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,SUR,
54,TQBR,2014-08-26,УрКузница,URKZ,2,331790,6299.0,6299.0,6400.0,6400,6381.0,6400.0,52,,6237,,0,923090,0.0,,3,SUR,6.67
55,TQBR,2014-08-27,УрКузница,URKZ,0,0,,,,6400,,,0,,6237,,0,923090,0.0,,3,SUR,
56,TQBR,2014-08-28,УрКузница,URKZ,4,136401,6201.0,6200.0,6201.0,6200,6200.0,6200.0,22,,6231,,0,903491,0.0,,3,SUR,-3.13
57,TQBR,2014-08-29,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,SUR,
58,TQBR,2014-09-01,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,SUR,
59,TQBR,2014-09-02,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,SUR,
