,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,УралСиб ао,USBN,4,15890.0,0.03219,0.03049,0.03219,0.03049,0.03116,0.03049,510000,,0.03016,,0,501507.6,0.0,,3,SUR,0.96
1,TQBR,2014-06-10,УралСиб ао,USBN,4,14435.7,0.03,0.03,0.03048,0.03048,0.03007,0.03048,480000,,0.03015,,0,505890.5,0.0,,3,SUR,-0.03
2,TQBR,2014-06-11,УралСиб ао,USBN,7,26982.2,0.03025,0.03025,0.03156,0.0305,0.03066,0.0305,880000,,0.03016,,0,501039.1,0.0,,3,SUR,0.07
3,TQBR,2014-06-16,УралСиб ао,USBN,4,11950.6,0.03,0.02951,0.03049,0.02985,0.02988,0.02988,400000,,0.03016,,0,501541.9,0.0,,3,SUR,-2.03
4,TQBR,2014-06-17,УралСиб ао,USBN,0,0.0,,,,0.02985,,,0,,0.03016,,0,501541.9,0.0,,3,SUR,
5,TQBR,2014-06-18,УралСиб ао,USBN,2,59040.0,0.02952,0.02952,0.02952,0.02952,0.02952,0.02952,2000000,,0.03008,,0,500199.6,0.0,,3,SUR,-1.2
6,TQBR,2014-06-19,УралСиб ао,USBN,10,15636.9,0.03049,0.02999,0.0305,0.02999,0.03007,0.03,520000,,0.03009,,0,510548.5,0.0,,3,SUR,1.63
7,TQBR,2014-06-20,УралСиб ао,USBN,22,96634.8,0.0292,0.029,0.0305,0.0305,0.02946,0.0305,3280000,,0.03004,,0,505951.7,0.0,,3,SUR,1.67
8,TQBR,2014-06-23,УралСиб ао,USBN,4,14413.8,0.03007,0.02999,0.03007,0.02999,0.03003,0.02999,480000,,0.03004,,0,520365.5,0.0,,3,SUR,-1.67
9,TQBR,2014-06-24,УралСиб ао,USBN,1,608.6,0.03043,0.03043,0.03043,0.03043,0.03043,0.03043,20000,,0.03004,,0,520974.1,0.0,,3,SUR,1.47
10,TQBR,2014-06-25,УралСиб ао,USBN,8,6273.8,0.03049,0.02927,0.03049,0.02965,0.02988,0.02965,210000,,0.03004,,0,527247.9,0.0,,3,SUR,-2.56
11,TQBR,2014-06-26,УралСиб ао,USBN,13,16647.1,0.03046,0.029,0.03046,0.03027,0.02921,0.03027,570000,,0.03001,,0,514960.6,0.0,,3,SUR,2.09
12,TQBR,2014-06-27,УралСиб ао,USBN,5,10497.7,0.03027,0.02997,0.03027,0.03,0.02999,0.03,350000,,0.03001,,0,501148.3,0.0,,3,SUR,-0.89
13,TQBR,2014-06-30,УралСиб ао,USBN,5,10911.2,0.03045,0.02943,0.03045,0.02943,0.02949,0.02943,370000,,0.03002,,0,500082.0,0.0,,3,SUR,-1.9
14,TQBR,2014-07-01,УралСиб ао,USBN,5,4125.0,0.02942,0.02902,0.02998,0.02941,0.02946,0.02941,140000,,0.03001,,0,504207.0,0.0,,3,SUR,-0.07
15,TQBR,2014-07-02,УралСиб ао,USBN,20,34446.7,0.03047,0.02821,0.03047,0.02999,0.02995,0.02999,1150000,,0.03003,,0,510466.5,0.0,,3,SUR,1.97
16,TQBR,2014-07-03,УралСиб ао,USBN,27,34842.6,0.0302,0.02817,0.03046,0.02935,0.02978,0.02935,1170000,,0.03001,,0,545309.1,0.0,,3,SUR,-2.13
17,TQBR,2014-07-04,УралСиб ао,USBN,17,21978.9,0.03047,0.02914,0.03047,0.02951,0.0297,0.0295,740000,,0.02995,,0,512493.1,0.0,,3,SUR,0.51
18,TQBR,2014-07-07,УралСиб ао,USBN,14,15804.6,0.02951,0.0295,0.02999,0.02999,0.02982,0.02999,530000,,0.02992,,0,501161.6,0.0,,3,SUR,1.66
