,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2015-04-29,ОВК ао,UWGN,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
1,TQBR,2015-04-30,ОВК ао,UWGN,1281,60863565.7,715.0,701.0,725.0,710.0,705.8,710.0,86237,705.8,705.8,705.8,60863565.7,60863565.7,60863565.7,,3,SUR,
2,TQBR,2015-05-05,ОВК ао,UWGN,23,115167.8,740.0,709.0,740.0,734.9,738.3,734.9,156,,715.0,,0.0,508349.3,0.0,,3,SUR,3.51
3,TQBR,2015-05-06,ОВК ао,UWGN,19,106548.2,715.0,711.2,717.0,714.9,715.1,711.3,149,,716.4,,0.0,522259.8,0.0,,3,SUR,-3.21
4,TQBR,2015-05-07,ОВК ао,UWGN,41,195342.3,712.2,705.0,714.9,714.8,707.8,714.8,276,,716.4,,0.0,510807.1,0.0,,3,SUR,0.49
5,TQBR,2015-05-08,ОВК ао,UWGN,6,7186.4,720.0,714.9,720.0,714.9,718.6,714.9,10,,716.5,,0.0,517993.5,0.0,,3,SUR,0.01
6,TQBR,2015-05-12,ОВК ао,UWGN,28,37470.1,706.6,700.5,729.9,712.6,707.0,712.6,53,,716.4,,0.0,506473.6,0.0,,3,SUR,-0.32
7,TQBR,2015-05-13,ОВК ао,UWGN,56,670328.1,712.6,675.0,712.6,704.1,701.2,704.1,956,701.2,701.2,701.2,670328.1,670328.1,670328.1,,3,SUR,-1.19
8,TQBR,2015-05-14,ОВК ао,UWGN,10,225667.9,703.0,703.0,707.9,703.0,703.0,703.0,321,,703.0,,0.0,506892.6,0.0,,3,SUR,-0.16
9,TQBR,2015-05-15,ОВК ао,UWGN,10,9105.4,702.3,685.0,707.7,706.9,700.4,706.9,13,,703.0,,0.0,515998.0,0.0,,3,SUR,0.55
10,TQBR,2015-05-18,ОВК ао,UWGN,47,6682547.9,702.3,700.2,715.0,715.0,710.2,715.0,9409,710.2,710.2,710.2,6682547.9,6682547.9,6682547.9,,3,SUR,1.15
11,TQBR,2015-05-19,ОВК ао,UWGN,17,81725.1,705.0,700.8,705.0,701.6,704.5,700.8,116,,713.3,,0.0,907980.1,0.0,,3,SUR,-1.99
12,TQBR,2015-05-20,ОВК ао,UWGN,17,7767759.7,705.1,702.4,712.5,702.4,711.1,702.4,10924,711.1,711.1,711.1,7767759.7,7767759.7,7767759.7,,3,SUR,0.23
13,TQBR,2015-05-21,ОВК ао,UWGN,26,17239406.5,709.8,700.1,735.0,721.0,715.6,721.0,24091,715.6,715.6,715.6,17239406.5,17239406.5,17239406.5,,3,SUR,2.65
14,TQBR,2015-05-22,ОВК ао,UWGN,6,3263047.0,705.0,705.0,727.0,727.0,724.3,727.0,4505,717.0,724.3,717.0,20502453.5,3274583.0,20502453.5,,3,SUR,0.83
15,TQBR,2015-05-25,ОВК ао,UWGN,42,514764532.5,727.0,720.0,850.0,740.0,720.1,739.9,714901,720.1,720.1,720.1,514764532.5,514764532.5,514764532.5,,3,SUR,1.77
16,TQBR,2015-05-26,ОВК ао,UWGN,17,365209.3,740.0,720.0,750.0,729.0,737.8,729.0,495,,720.0,,0.0,512268713.7,0.0,,3,SUR,-1.47
17,TQBR,2015-05-27,ОВК ао,UWGN,27,515597522.7,729.0,720.0,850.0,777.7,720.1,777.7,716012,720.1,720.1,720.1,515597522.7,515597522.7,515597522.7,,3,SUR,6.68
18,TQBR,2015-05-28,ОВК ао,UWGN,15,176309.9,777.0,730.0,777.0,757.0,750.3,757.0,235,,750.9,,0.0,786973.0,0.0,,3,SUR,-2.66
19,TQBR,2015-05-29,ОВК ао,UWGN,53,537707348.9,777.7,721.0,900.0,740.0,725.0,740.0,741706,725.0,725.0,725.0,537707348.9,537707348.9,537707348.9,,3,SUR,-2.25
20,TQBR,2015-06-01,ОВК ао,UWGN,67,104674347.6,813.0,702.3,813.0,723.0,724.0,729.0,144573,724.0,724.0,724.0,104674347.6,104674347.6,104674347.6,,3,SUR,-1.49
21,TQBR,2015-06-02,ОВК ао,UWGN,13,13732084.3,721.0,721.0,725.0,724.0,723.6,724.0,18978,723.6,723.6,723.6,13732084.3,13732084.3,13732084.3,,3,SUR,-0.69
