,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ВХЗ-ао,VLHZ,0,0.0,,,,164.87,,,0,,159.16,,0.0,510896.2,0.0,,3,SUR,
1,TQBR,2014-06-10,ВХЗ-ао,VLHZ,8,31830.1,159.0,158.0,160.0,160.0,159.15,160.0,200,,158.87,,0.0,505206.3,0.0,,3,SUR,-5.19
2,TQBR,2014-06-11,ВХЗ-ао,VLHZ,1,1629.6,162.96,162.96,162.96,160.0,162.96,162.96,10,,158.88,,0.0,506835.9,0.0,,3,SUR,1.85
3,TQBR,2014-06-16,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
4,TQBR,2014-06-17,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
5,TQBR,2014-06-18,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
6,TQBR,2014-06-19,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
7,TQBR,2014-06-20,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
8,TQBR,2014-06-23,ВХЗ-ао,VLHZ,0,0.0,,,,160.0,,,0,,158.88,,0.0,506835.9,0.0,,3,SUR,
9,TQBR,2014-06-24,ВХЗ-ао,VLHZ,1,1687.5,168.75,168.75,168.75,168.75,168.75,168.75,10,,158.91,,0.0,508523.4,0.0,,3,SUR,3.55
10,TQBR,2014-06-25,ВХЗ-ао,VLHZ,0,0.0,,,,168.75,,,0,,158.91,,0.0,508523.4,0.0,,3,SUR,
11,TQBR,2014-06-26,ВХЗ-ао,VLHZ,12,53633.5,157.04,157.0,161.97,161.97,157.75,161.97,340,,158.36,,0.0,506749.6,0.0,,3,SUR,-4.02
12,TQBR,2014-06-27,ВХЗ-ао,VLHZ,0,0.0,,,,161.97,,,0,,158.36,,0.0,506749.6,0.0,,3,SUR,
13,TQBR,2014-06-30,ВХЗ-ао,VLHZ,0,0.0,,,,161.97,,,0,,158.36,,0.0,506749.6,0.0,,3,SUR,
14,TQBR,2014-07-01,ВХЗ-ао,VLHZ,0,0.0,,,,161.97,,,0,,158.36,,0.0,506749.6,0.0,,3,SUR,
15,TQBR,2014-07-02,ВХЗ-ао,VLHZ,0,0.0,,,,161.97,,,0,,158.36,,0.0,506749.6,0.0,,3,SUR,
16,TQBR,2014-07-03,ВХЗ-ао,VLHZ,0,0.0,,,,161.97,,,0,,158.36,,0.0,506749.6,0.0,,3,SUR,
17,TQBR,2014-07-04,ВХЗ-ао,VLHZ,8,13036.6,163.0,160.0,163.6,162.69,162.96,163.6,80,,158.47,,0.0,502360.2,0.0,,3,SUR,1.01
18,TQBR,2014-07-07,ВХЗ-ао,VLHZ,11,19074.5,158.99,158.1,162.97,162.97,158.95,162.97,120,,158.59,,0.0,507488.3,0.0,,3,SUR,-0.39
