,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2024-07-05,ВИ.ру,VSEH,26745,948277441.95,200.0,191.5,200.0,199.0,198.9,199.0,4829091,196.35,196.35,,948277441.95,948277441.95,,0,3,SUR,
1,TQBR,2024-07-08,ВИ.ру,VSEH,21839,292073117.15,199.6,190.1,200.0,190.6,193.85,190.6,1506514,193.85,193.85,,292073117.15,292073117.15,,0,3,SUR,-4.22
2,TQBR,2024-07-09,ВИ.ру,VSEH,17113,183374155.65,190.6,176.15,191.7,186.0,183.35,186.0,1000101,183.35,183.35,,183374155.65,183374155.65,,0,3,SUR,-2.41
3,TQBR,2024-07-10,ВИ.ру,VSEH,7132,99535493.3,187.0,179.0,192.75,188.0,187.0,188.0,532225,187.0,187.0,,99535493.3,99535493.3,,0,3,SUR,1.08
4,TQBR,2024-07-11,ВИ.ру,VSEH,5753,121388023.75,188.0,181.05,190.9,190.5,187.9,190.5,646072,187.9,187.9,,121388023.75,121388023.75,,0,3,SUR,1.33
5,TQBR,2024-07-12,ВИ.ру,VSEH,4067,111096506.45,190.5,185.0,199.75,198.0,193.05,198.0,575494,193.05,193.05,,111096506.45,111096506.45,,0,3,SUR,3.94
6,TQBR,2024-07-15,ВИ.ру,VSEH,5407,64670923.3,198.0,188.0,199.0,192.2,192.1,192.2,336624,192.1,192.1,,64670923.3,64670923.3,,0,3,SUR,-2.93
7,TQBR,2024-07-16,ВИ.ру,VSEH,7151,60162044.2,192.1,184.0,192.1,186.4,187.6,186.4,320671,187.6,187.6,,60162044.2,60162044.2,,0,3,SUR,-3.02
8,TQBR,2024-07-17,ВИ.ру,VSEH,5967,36096031.3,186.4,185.15,193.15,188.55,186.65,188.55,191180,188.8,188.8,,36096031.3,36096031.3,,0,3,SUR,1.15
9,TQBR,2024-07-18,ВИ.ру,VSEH,6267,46035246.45,188.6,183.0,190.9,190.85,186.0,190.85,247493,186.0,186.0,,46035246.45,46035246.45,,0,3,SUR,1.22
10,TQBR,2024-07-19,ВИ.ру,VSEH,4051,33635322.7,190.85,187.2,190.85,187.2,188.8,187.2,178145,188.8,188.8,,33635322.7,33635322.7,,0,3,SUR,-1.91
11,TQBR,2024-07-22,ВИ.ру,VSEH,4999,35782952.5,187.0,184.1,190.15,188.25,185.55,188.25,191466,186.9,186.9,,35782952.5,35782952.5,,0,3,SUR,0.56
12,TQBR,2024-07-23,ВИ.ру,VSEH,4568,32019931.6,187.65,183.7,189.0,184.0,185.7,184.0,172436,185.7,185.7,,32019931.6,32019931.6,,0,3,SUR,-2.26
13,TQBR,2024-07-24,ВИ.ру,VSEH,7789,62035074.0,184.1,180.5,186.0,181.65,181.85,181.65,341118,181.85,181.85,,62035074.0,62035074.0,,0,3,SUR,-1.28
14,TQBR,2024-07-25,ВИ.ру,VSEH,5058,23994234.35,181.6,181.45,185.0,183.95,183.65,183.95,130655,183.65,183.65,,23994234.35,23994234.35,,0,3,SUR,1.27
15,TQBR,2024-07-26,ВИ.ру,VSEH,5863,23769829.55,184.05,179.05,185.25,180.55,181.75,180.55,130788,181.75,181.75,,23769829.55,23769829.55,,0,3,SUR,-1.85
16,TQBR,2024-07-29,ВИ.ру,VSEH,5661,42626734.65,180.45,174.4,180.55,174.7,177.3,174.7,240455,177.3,177.3,,42626734.65,42626734.65,,0,3,SUR,-3.24
17,TQBR,2024-07-30,ВИ.ру,VSEH,5375,51915378.6,174.85,167.05,176.6,175.95,172.4,175.95,301094,172.4,172.4,,51915378.6,51915378.6,,0,3,SUR,0.72
18,TQBR,2024-07-31,ВИ.ру,VSEH,2573,21336069.9,175.9,174.25,179.95,177.9,177.85,177.9,119967,177.85,177.85,,21336069.9,21336069.9,,0,3,SUR,1.11
19,TQBR,2024-08-01,ВИ.ру,VSEH,3044,28716457.55,177.9,176.0,180.3,179.35,178.75,179.35,160656,178.75,178.75,,28716457.55,28716457.55,,0,3,SUR,0.82
20,TQBR,2024-08-02,ВИ.ру,VSEH,2820,31140862.8,178.45,175.25,180.0,179.8,179.25,179.8,173737,179.25,179.25,,31140862.8,31140862.8,,0,3,SUR,0.25
21,TQBR,2024-08-05,ВИ.ру,VSEH,3087,28745179.4,175.0,170.2,179.35,175.35,174.3,175.35,164935,174.3,174.3,,28745179.4,28745179.4,,0,3,SUR,-2.47
22,TQBR,2024-08-06,ВИ.ру,VSEH,2199,26204773.5,175.4,170.75,178.8,171.55,173.65,171.55,150897,173.65,173.65,,26204773.5,26204773.5,,0,3,SUR,-2.17
23,TQBR,2024-08-07,ВИ.ру,VSEH,4433,80295357.35,173.4,165.05,174.55,169.1,168.65,169.1,476059,168.65,168.65,,80295357.35,80295357.35,,0,3,SUR,-1.43
24,TQBR,2024-08-08,ВИ.ру,VSEH,1830,20126212.6,170.95,167.65,171.15,170.1,169.3,170.1,118874,169.3,169.3,,20126212.6,20126212.6,,0,3,SUR,0.59
25,TQBR,2024-08-09,ВИ.ру,VSEH,1839,14407997.5,169.7,167.75,172.6,171.0,170.35,171.0,84589,170.35,170.35,,14407997.5,14407997.5,,0,3,SUR,0.53
26,TQBR,2024-08-12,ВИ.ру,VSEH,2967,29720878.05,171.0,168.0,179.6,177.45,175.2,177.45,169631,175.2,175.2,,29720878.05,29720878.05,,0,3,SUR,3.77
27,TQBR,2024-08-13,ВИ.ру,VSEH,1903,11941030.15,177.45,175.25,179.0,176.05,177.85,176.05,67142,177.85,177.85,,11941030.15,11941030.15,,0,3,SUR,-0.79
28,TQBR,2024-08-14,ВИ.ру,VSEH,1415,6403047.55,176.8,173.4,178.8,174.2,176.4,174.2,36298,176.4,176.4,,6403047.55,6403047.55,,0,3,SUR,-1.05
29,TQBR,2024-08-15,ВИ.ру,VSEH,1789,21241526.9,172.8,170.75,177.2,174.8,174.95,174.8,121420,174.95,174.95,,21241526.9,21241526.9,,0,3,SUR,0.34
30,TQBR,2024-08-16,ВИ.ру,VSEH,1140,14712307.45,174.8,173.05,178.6,174.4,174.65,174.4,84235,174.65,174.65,,14712307.45,14712307.45,,0,3,SUR,-0.23
31,TQBR,2024-08-19,ВИ.ру,VSEH,7136,66540461.25,174.4,161.0,178.95,164.75,167.9,164.75,396300,167.9,167.9,,66540461.25,66540461.25,,0,3,SUR,-5.53
32,TQBR,2024-08-20,ВИ.ру,VSEH,5863,52278343.15,164.75,157.0,165.25,157.7,160.05,157.7,326670,160.05,160.05,,52278343.15,52278343.15,,0,3,SUR,-4.28
33,TQBR,2024-08-21,ВИ.ру,VSEH,5074,46862318.15,157.7,153.15,159.25,154.95,156.1,154.95,300184,156.1,156.1,,46862318.15,46862318.15,,0,3,SUR,-1.74
34,TQBR,2024-08-22,ВИ.ру,VSEH,5889,39548653.95,155.0,155.0,164.95,157.05,160.85,157.05,245877,160.85,160.85,,39548653.95,39548653.95,,0,3,SUR,1.36
35,TQBR,2024-08-23,ВИ.ру,VSEH,2870,19180438.4,159.75,155.0,163.0,160.45,158.9,160.45,120719,158.9,158.9,,19180438.4,19180438.4,,0,3,SUR,2.16
36,TQBR,2024-08-26,ВИ.ру,VSEH,1708,15501145.2,160.45,160.45,167.05,166.25,164.7,166.25,94120,164.7,164.7,,15501145.2,15501145.2,,0,3,SUR,3.61
37,TQBR,2024-08-27,ВИ.ру,VSEH,1677,38961719.9,166.3,160.2,170.0,164.1,167.6,164.1,232447,167.6,167.6,,38961719.9,38961719.9,,0,3,SUR,-1.29
38,TQBR,2024-08-28,ВИ.ру,VSEH,1366,10642200.3,162.85,161.65,168.65,167.8,165.35,167.8,64354,165.35,165.35,,10642200.3,10642200.3,,0,3,SUR,2.25
