,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ВСМПО-АВСМ,VSMO,90,1723443.2,8200.0,8018.1,8200.0,8028.6,8091.3,8020.0,213,8091.3,8091.3,8091.3,1723443.2,1723443.2,1723443.2,,3,SUR,-2.79
1,TQBR,2014-06-10,ВСМПО-АВСМ,VSMO,94,3286105.8,8093.3,8026.7,8097.7,8096.1,8054.2,8096.4,408,8054.2,8054.2,8054.2,3286105.8,3286105.8,3286105.8,,3,SUR,0.95
2,TQBR,2014-06-11,ВСМПО-АВСМ,VSMO,167,2694431.9,8019.1,7955.0,8100.1,8015.3,8019.1,8015.3,336,8019.1,8019.1,8019.1,2694431.9,2694431.9,2694431.9,,3,SUR,-1.0
3,TQBR,2014-06-16,ВСМПО-АВСМ,VSMO,364,14881767.9,7900.0,7557.8,8335.0,8000.0,8105.5,8000.0,1836,8108.6,8108.6,8108.6,14668467.9,14668467.9,14668467.9,,3,SUR,-0.19
4,TQBR,2014-06-17,ВСМПО-АВСМ,VSMO,22,412635.7,7602.5,7602.5,8137.8,7925.9,7785.6,7927.4,53,,7977.7,,0.0,510573.2,0.0,,3,SUR,-0.91
5,TQBR,2014-06-18,ВСМПО-АВСМ,VSMO,78,3768116.4,7779.6,7733.8,7852.0,7777.7,7753.3,7777.7,486,7753.3,7753.3,7753.3,3768116.4,3768116.4,3768116.4,,3,SUR,-1.89
6,TQBR,2014-06-19,ВСМПО-АВСМ,VSMO,26,633155.7,7849.9,7708.9,7890.0,7710.2,7816.7,7710.1,81,7816.7,7816.7,7816.7,633155.7,633155.7,633155.7,,3,SUR,-0.87
7,TQBR,2014-06-20,ВСМПО-АВСМ,VSMO,261,6233725.4,7792.8,6830.1,7792.8,7081.0,7173.4,7081.0,869,7173.4,7173.4,7173.4,6233725.4,6233725.4,6233725.4,,3,SUR,-8.16
8,TQBR,2014-06-23,ВСМПО-АВСМ,VSMO,112,6649932.7,7122.5,7050.0,7391.8,7297.7,7158.2,7297.7,929,7158.2,7158.2,7158.2,6635687.7,6635687.7,6635687.7,,3,SUR,3.06
9,TQBR,2014-06-24,ВСМПО-АВСМ,VSMO,97,6937612.7,8294.4,7100.0,8294.4,7387.0,7357.0,7385.0,943,7356.0,7356.0,7356.0,6929318.3,6929318.3,6929318.3,,3,SUR,1.2
10,TQBR,2014-06-25,ВСМПО-АВСМ,VSMO,34,1249948.2,7350.1,7331.2,7427.2,7331.2,7352.6,7331.2,170,7352.6,7352.6,7352.6,1249948.2,1249948.2,1249948.2,,3,SUR,-0.73
11,TQBR,2014-06-26,ВСМПО-АВСМ,VSMO,34,3193088.5,7351.0,7300.0,7392.8,7301.8,7340.4,7310.0,435,7340.4,7340.4,7340.4,3193088.5,3193088.5,3193088.5,,3,SUR,-0.29
12,TQBR,2014-06-27,ВСМПО-АВСМ,VSMO,14,5998842.2,7406.0,7338.0,7469.3,7455.3,7369.6,7469.3,814,7369.6,7369.6,7369.6,5998842.2,5998842.2,5998842.2,,3,SUR,2.18
13,TQBR,2014-06-30,ВСМПО-АВСМ,VSMO,20,1075907.0,7399.2,7329.1,7472.1,7400.0,7420.0,7400.0,145,7420.0,7420.0,7420.0,1075907.0,1075907.0,1075907.0,,3,SUR,-0.93
14,TQBR,2014-07-01,ВСМПО-АВСМ,VSMO,61,3767315.8,7400.2,7354.1,7480.1,7400.0,7401.4,7400.0,509,7401.4,7401.4,7401.4,3767315.8,3767315.8,3767315.8,,3,SUR,0.0
15,TQBR,2014-07-02,ВСМПО-АВСМ,VSMO,28,436569.1,7451.0,7451.0,7696.0,7555.7,7527.1,7555.7,58,,7465.8,,0.0,836169.1,0.0,,3,SUR,2.1
16,TQBR,2014-07-03,ВСМПО-АВСМ,VSMO,34,653424.9,7647.6,7647.6,7850.0,7710.0,7778.9,7710.0,84,7778.9,7778.9,7778.9,653424.9,653424.9,653424.9,,3,SUR,2.04
17,TQBR,2014-07-04,ВСМПО-АВСМ,VSMO,42,778254.2,7798.9,7701.4,7800.0,7800.0,7782.5,7800.0,100,7782.5,7782.5,7782.5,778254.2,778254.2,778254.2,,3,SUR,1.17
18,TQBR,2014-07-07,ВСМПО-АВСМ,VSMO,30,983820.2,7644.1,7644.1,7924.0,7900.0,7870.6,7900.0,125,7870.6,7870.6,7870.6,983820.2,983820.2,983820.2,,3,SUR,1.28
19,TQBR,2014-07-08,ВСМПО-АВСМ,VSMO,109,15885280.9,7727.6,7727.4,7999.0,7999.0,7966.5,7999.0,1994,7966.5,7966.5,7966.5,15885280.9,15885280.9,15885280.9,,3,SUR,1.25
20,TQBR,2014-07-09,ВСМПО-АВСМ,VSMO,50,21962607.5,7805.3,7805.1,8099.9,8099.9,7989.3,8099.9,2749,7989.3,7989.3,7989.3,21962607.5,21962607.5,21962607.5,,3,SUR,1.26
21,TQBR,2014-07-10,ВСМПО-АВСМ,VSMO,40,907230.4,7925.2,7925.2,8043.9,7990.0,7958.2,7990.0,114,7958.2,7958.2,7958.2,907230.4,907230.4,907230.4,,3,SUR,-1.36
22,TQBR,2014-07-11,ВСМПО-АВСМ,VSMO,33,1162304.6,7820.2,7750.2,8009.8,7999.0,7906.8,7999.0,147,7906.8,7906.8,7906.8,1162304.6,1162304.6,1162304.6,,3,SUR,0.11
23,TQBR,2014-07-14,ВСМПО-АВСМ,VSMO,15,389971.7,7919.7,7919.7,8000.0,8000.0,7958.6,8000.0,49,,7965.5,,0.0,501828.1,0.0,,3,SUR,0.01
24,TQBR,2014-07-15,ВСМПО-АВСМ,VSMO,45,2266735.6,7925.9,7900.0,8005.0,7999.0,7953.5,7999.0,285,7953.5,7953.5,7953.5,2266735.6,2266735.6,2266735.6,,3,SUR,-0.01
25,TQBR,2014-07-16,ВСМПО-АВСМ,VSMO,47,1203060.3,8000.0,7931.9,8100.0,7999.0,8020.4,7999.0,150,8020.4,8020.4,8020.4,1203060.3,1203060.3,1203060.3,,3,SUR,0.0
26,TQBR,2014-07-17,ВСМПО-АВСМ,VSMO,49,3273715.0,7960.6,7810.1,7960.6,7922.7,7888.5,7915.5,415,7888.5,7888.5,7888.5,3273715.0,3273715.0,3273715.0,,3,SUR,-1.04
27,TQBR,2014-07-18,ВСМПО-АВСМ,VSMO,25,342906.2,7874.2,7750.0,7899.2,7756.7,7793.3,7756.7,44,,7847.2,,0.0,769030.2,0.0,,3,SUR,-2.01
28,TQBR,2014-07-21,ВСМПО-АВСМ,VSMO,28,449522.1,7735.3,7728.1,7980.1,7736.9,7886.4,7736.9,57,,7872.9,,0.0,503867.0,0.0,,3,SUR,-0.26
29,TQBR,2014-07-22,ВСМПО-АВСМ,VSMO,31,1434594.3,7767.7,7767.7,7850.0,7847.1,7839.3,7773.3,183,7839.3,7839.3,7839.3,1434594.3,1434594.3,1434594.3,,3,SUR,0.47
30,TQBR,2014-07-23,ВСМПО-АВСМ,VSMO,62,1222847.8,7722.2,7577.0,7781.3,7603.5,7642.8,7713.1,160,7642.8,7642.8,7642.8,1222847.8,1222847.8,1222847.8,,3,SUR,-0.77
