,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
1,TQBR,2014-06-10,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
2,TQBR,2014-06-11,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
3,TQBR,2014-06-16,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
4,TQBR,2014-06-17,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
5,TQBR,2014-06-18,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1327,,0,522878,0.0,,3,SUR,
6,TQBR,2014-06-19,Якутскэн-п,YKENP,1,1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,10000,,0.1327,,0,524193,0.0,,3,SUR,-6.07
7,TQBR,2014-06-20,Якутскэн-п,YKENP,1,40500,0.135,0.135,0.135,0.135,0.135,0.135,300000,,0.1337,,0,515982,0.0,,3,SUR,2.66
8,TQBR,2014-06-23,Якутскэн-п,YKENP,0,0,,,,0.135,,,0,,0.1337,,0,515982,0.0,,3,SUR,
9,TQBR,2014-06-24,Якутскэн-п,YKENP,14,150964,0.1499,0.14,0.159,0.14,0.1424,0.14,1060000,,0.1365,,0,500842,0.0,,3,SUR,3.7
10,TQBR,2014-06-25,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1365,,0,500842,0.0,,3,SUR,
11,TQBR,2014-06-26,Якутскэн-п,YKENP,0,0,,,,0.14,,,0,,0.1365,,0,500842,0.0,,3,SUR,
