,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
0,TQBR,2014-06-09,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,76.8,,0,1789530,0.0,,3,SUR,
1,TQBR,2014-06-10,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,76.8,,0,1789530,0.0,,3,SUR,
2,TQBR,2014-06-11,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,76.8,,0,1789530,0.0,,3,SUR,
3,TQBR,2014-06-16,ТНСэнЯр-п,YRSBP,1,6909,69.09,69.09,69.09,69.09,69.09,69.09,100,,76.85,,0,1721439,0.0,,3,SUR,1.6
4,TQBR,2014-06-17,ТНСэнЯр-п,YRSBP,0,0,,,,69.09,,,0,,76.85,,0,1721439,0.0,,3,SUR,
5,TQBR,2014-06-18,ТНСэнЯр-п,YRSBP,0,0,,,,69.09,,,0,,76.85,,0,1721439,0.0,,3,SUR,
6,TQBR,2014-06-19,ТНСэнЯр-п,YRSBP,0,0,,,,69.09,,,0,,76.85,,0,1721439,0.0,,3,SUR,
7,TQBR,2014-06-20,ТНСэнЯр-п,YRSBP,0,0,,,,69.09,,,0,,76.85,,0,1721439,0.0,,3,SUR,
8,TQBR,2014-06-23,ТНСэнЯр-п,YRSBP,1,7800,78.0,78.0,78.0,78.0,78.0,78.0,100,,76.94,,0,1654239,0.0,,3,SUR,12.9
9,TQBR,2014-06-24,ТНСэнЯр-п,YRSBP,0,0,,,,78.0,,,0,,76.94,,0,1654239,0.0,,3,SUR,
10,TQBR,2014-06-25,ТНСэнЯр-п,YRSBP,0,0,,,,78.0,,,0,,76.94,,0,1654239,0.0,,3,SUR,
11,TQBR,2014-06-26,ТНСэнЯр-п,YRSBP,3,210800,68.0,68.0,68.0,68.0,68.0,68.0,3100,,75.97,,0,1641039,0.0,,3,SUR,-12.82
12,TQBR,2014-06-27,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
13,TQBR,2014-06-30,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
14,TQBR,2014-07-01,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
15,TQBR,2014-07-02,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
16,TQBR,2014-07-03,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
17,TQBR,2014-07-04,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
18,TQBR,2014-07-07,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
19,TQBR,2014-07-08,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
20,TQBR,2014-07-09,ТНСэнЯр-п,YRSBP,0,0,,,,68.0,,,0,,75.97,,0,1641039,0.0,,3,SUR,
21,TQBR,2014-07-10,ТНСэнЯр-п,YRSBP,2,13001,65.01,65.0,65.01,65.01,65.01,65.0,200,,75.86,,0,1623308,0.0,,3,SUR,-4.41
22,TQBR,2014-07-11,ТНСэнЯр-п,YRSBP,0,0,,,,65.01,,,0,,75.86,,0,1623308,0.0,,3,SUR,
23,TQBR,2014-07-14,ТНСэнЯр-п,YRSBP,1,6500,65.0,65.0,65.0,65.0,65.0,65.0,100,,75.81,,0,1629808,0.0,,3,SUR,0.0
24,TQBR,2014-07-15,ТНСэнЯр-п,YRSBP,3,54000,60.0,60.0,60.0,60.0,60.0,60.0,900,,75.17,,0,1683808,0.0,,3,SUR,-7.69
25,TQBR,2014-07-16,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
26,TQBR,2014-07-17,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
27,TQBR,2014-07-18,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
28,TQBR,2014-07-21,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
29,TQBR,2014-07-22,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
30,TQBR,2014-07-23,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
31,TQBR,2014-07-24,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
32,TQBR,2014-07-25,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
33,TQBR,2014-07-28,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
34,TQBR,2014-07-29,ТНСэнЯр-п,YRSBP,0,0,,,,60.0,,,0,,75.17,,0,1683808,0.0,,3,SUR,
35,TQBR,2014-07-30,ТНСэнЯр-п,YRSBP,2,129960,62.01,62.01,67.95,64.98,64.98,67.95,2000,,74.33,,0,1813768,0.0,,3,SUR,13.25
36,TQBR,2014-07-31,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
37,TQBR,2014-08-01,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
38,TQBR,2014-08-04,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
39,TQBR,2014-08-05,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
40,TQBR,2014-08-06,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
41,TQBR,2014-08-07,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
42,TQBR,2014-08-08,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
43,TQBR,2014-08-11,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
44,TQBR,2014-08-12,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.33,,0,1813768,0.0,,3,SUR,
45,TQBR,2014-08-13,ТНСэнЯр-п,YRSBP,1,6200,62.0,62.0,62.0,64.98,62.0,62.0,100,,74.28,,0,1819968,0.0,,3,SUR,-8.76
46,TQBR,2014-08-14,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
47,TQBR,2014-08-15,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
48,TQBR,2014-08-18,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
49,TQBR,2014-08-19,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
50,TQBR,2014-08-20,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
51,TQBR,2014-08-21,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
52,TQBR,2014-08-22,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
53,TQBR,2014-08-25,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
54,TQBR,2014-08-26,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
55,TQBR,2014-08-27,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
56,TQBR,2014-08-28,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
57,TQBR,2014-08-29,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
58,TQBR,2014-09-01,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
59,TQBR,2014-09-02,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
60,TQBR,2014-09-03,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
61,TQBR,2014-09-04,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
62,TQBR,2014-09-05,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,74.28,,0,1819968,0.0,,3,SUR,
63,TQBR,2014-09-08,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,,,0,0,0.0,,3,SUR,
64,TQBR,2014-09-09,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,,,0,0,0.0,,3,SUR,
65,TQBR,2014-09-10,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,,,0,0,0.0,,3,SUR,
66,TQBR,2014-09-11,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,,,0,0,0.0,,3,SUR,
67,TQBR,2014-09-12,ТНСэнЯр-п,YRSBP,0,0,,,,64.98,,,0,,,,0,0,0.0,,3,SUR,
68,TQBR,2014-09-15,ТНСэнЯр-п,YRSBP,1,24040,60.1,60.1,60.1,60.1,60.1,60.1,400,,,,0,0,0.0,,3,SUR,-3.06
69,TQBR,2014-09-16,ТНСэнЯр-п,YRSBP,0,0,,,,60.1,,,0,,,,0,0,0.0,,3,SUR,
70,TQBR,2014-09-17,ТНСэнЯр-п,YRSBP,0,0,,,,60.1,,,0,,,,0,0,0.0,,3,SUR,
71,TQBR,2014-09-18,ТНСэнЯр-п,YRSBP,0,0,,,,60.1,,,0,,,,0,0,0.0,,3,SUR,
72,TQBR,2014-09-19,ТНСэнЯр-п,YRSBP,0,0,,,,60.1,,,0,,,,0,0,0.0,,3,SUR,
73,TQBR,2014-09-22,ТНСэнЯр-п,YRSBP,0,0,,,,60.1,,,0,,,,0,0,0.0,,3,SUR,
74,TQBR,2014-09-23,ТНСэнЯр-п,YRSBP,1,5505,55.05,55.05,55.05,55.05,55.05,55.05,100,,,,0,0,0.0,,3,SUR,-8.4
75,TQBR,2014-09-24,ТНСэнЯр-п,YRSBP,0,0,,,,55.05,,,0,,,,0,0,0.0,,3,SUR,
76,TQBR,2014-09-25,ТНСэнЯр-п,YRSBP,0,0,,,,55.05,,,0,,,,0,0,0.0,,3,SUR,
77,TQBR,2014-09-26,ТНСэнЯр-п,YRSBP,0,0,,,,55.05,,,0,,,,0,0,0.0,,3,SUR,
78,TQBR,2014-09-29,ТНСэнЯр-п,YRSBP,0,0,,,,55.05,,,0,,,,0,0,0.0,,3,SUR,
79,TQBR,2014-09-30,ТНСэнЯр-п,YRSBP,0,0,,,,55.05,,,0,,,,0,0,0.0,,3,SUR,
